Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
SEQN,hasco:originalID,??participant,,,,,,,,
??participant,,,,,sio:SIO_000485,sio:SIO_000883,,,,
screening_yr,sio:SIO_000428,??screening,,,,,,,,
mec_yr,sio:SIO_000428,??mec,,,,,,,,
??screening,,,,,nhanes:00020,,,??participant,,
??mec,,,,,nhanes:00027,,,??participant,,
RIDAGEYR,sio:SIO_001013,??participant,sio:SIO_000428,??screening,,,,,,
RIDAGEMN,sio:SIO_001013,??participant,sio:SIO_000429,??screening,,,,,,
RIAGENDR,sio:SIO_010029,??participant,,,,,,,,
RIDRETH1,hhear:00609,??participant,,,,,,,,
DMDBORN2,hhear:00556,??participant,,,,,,,,
DMDBORN4,hhear:00556,??participant,,,,,,,,
DMDEDUC3,exo:0000041,??participant,,,,,,,,
DMDEDUC2,exo:0000041,??participant,,,,,,,,
DMDHREDZ,exo:0000041,??hhref,,,,,,,,
DMDHREDU,exo:0000041,??hhref,,,,,,,,
??hhref,,,,,sio:SIO_000485,,sio:SIO_000011,??hh,,
DMDHRGND,sio:SIO_010029,??hhref,,,,,,,,
DMDHRAGZ,nhanes:00069,??hhref,nhanes:00076,,,,,,,
DMDHRAGE,sio:SIO_001013,??hhref,sio:SIO_000428,,,,,,,
??hh,,,,,obo:OMRSE_00000076,,sio:SIO_000059,??participant,,
DMDMARTL,hhear:00238,??participant,,,,,,,,
RIDEXPRG,hhear:00489,??participant,,,,,,,,
INDHHIN2,obo:NCIT_C70811,??hh,,,,,,,,
??family,,,,,sio:SIO_000620,,,??participant,,
DMDFMSIZ,nhanes:00021,??family,,,,,,,,
DMDHHSZA ,nhanes:00022,??hh,,,,,,,,
DMDHHSZB,nhanes:00023,??hh,,,,,,,,
DMDHHSZE,nhanes:00024,??hh,,,,,,,,
INDFMIN2,obo:NCIT_C70811,??family,,,,,,,,
WTINT2YR,nhanes:00028,??participant,,??screening,,,,,,
WTMEC2YR,nhanes:00097,??participant,,??mec,,,,,,
SDMVPSU,nhanes:00098,??participant,,,,,,,,
SDMVSTRA,nhanes:00099,??participant,,,,,,,,
