,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
56,BMXARMC,10.8 To 58.2,Range Of Values,Arm Circumference (cm),Both males and females 2 MONTHS - 150 YEARS,nan,,
57,BMXARMC,.,Missing,Arm Circumference (cm),Both males and females 2 MONTHS - 150 YEARS,nan,,
58,BMIARMC,1,Could Not Obtain,Arm Circumference Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
59,BMIARMC,.,Missing,Arm Circumference Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
60,BMXWAIST,38.2 To 173.4,Range Of Values,Waist Circumference (cm),Both males and females 2 YEARS - 150 YEARS,nan,,
61,BMXWAIST,.,Missing,Waist Circumference (cm),Both males and females 2 YEARS - 150 YEARS,nan,,
62,BMIWAIST,1,Could Not Obtain,Waist Circumference Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
63,BMIWAIST,.,Missing,Waist Circumference Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
64,BMXTHICR,25.1 To 94.3,Range Of Values,Thigh Circumference (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
65,BMXTHICR,.,Missing,Thigh Circumference (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
66,BMITHICR,1,Could Not Obtain,Thigh Circumference Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
67,BMITHICR,.,Missing,Thigh Circumference Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
68,BMXTRI,2.4 To 43.6,Range Of Values,Triceps Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,nan,,
69,BMXTRI,.,Missing,Triceps Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,nan,,
70,BMITRI,1,Could Not Obtain,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
71,BMITRI,2,Exceeds Capacity,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
72,BMITRI,3,Hard To Obtain,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
73,BMITRI,.,Missing,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
74,BMXSUB,2.2 To 42.2,Range Of Values,Subscapular Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,nan,,
75,BMXSUB,.,Missing,Subscapular Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,nan,,
76,BMISUB,1,Could Not Obtain,Subscapular Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
77,BMISUB,2,Exceeds Capacity,Subscapular Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
78,BMISUB,3,Hard To Obtain,Subscapular Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
79,BMISUB,.,Missing,Subscapular Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
80,BMAAMP,1,Yes,Amputations?,Both males and females 0 YEARS - 150 YEARS,nan,,
81,BMAAMP,2,No,Amputations?,Both males and females 0 YEARS - 150 YEARS,nan,,
82,BMAAMP,.,Missing,Amputations?,Both males and females 0 YEARS - 150 YEARS,nan,,
83,BMAUREXT,1,Yes,Amputations: Upper Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
84,BMAUREXT,2,No,Amputations: Upper Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
85,BMAUREXT,9,Could Not Obtain,Amputations: Upper Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
86,BMAUREXT,.,Missing,Amputations: Upper Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
87,BMAUPREL,1,Above Elbow,Amputations: Upper Right. Above or Below Elbow?,Both males and females 0 YEARS - 150 YEARS,nan,,
88,BMAUPREL,2,Below Elbow,Amputations: Upper Right. Above or Below Elbow?,Both males and females 0 YEARS - 150 YEARS,nan,,
89,BMAUPREL,.,Missing,Amputations: Upper Right. Above or Below Elbow?,Both males and females 0 YEARS - 150 YEARS,nan,,
90,BMAULEXT,1,Yes,Amputations: Upper Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
91,BMAULEXT,2,No,Amputations: Upper Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
92,BMAULEXT,9,Could Not Obtain,Amputations: Upper Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
93,BMAULEXT,.,Missing,Amputations: Upper Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
94,BMAUPLEL,1,Above Elbow,Amputations: Upper Left. Above or Below Elbow?,Both males and females 0 YEARS - 150 YEARS,nan,,
95,BMAUPLEL,2,Below Elbow,Amputations: Upper Left. Above or Below Elbow?,Both males and females 0 YEARS - 150 YEARS,nan,,
96,BMAUPLEL,.,Missing,Amputations: Upper Left. Above or Below Elbow?,Both males and females 0 YEARS - 150 YEARS,nan,,
97,BMALOREX,1,Yes,Amputations: Lower Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
98,BMALOREX,2,No,Amputations: Lower Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
99,BMALOREX,9,Could Not Obtain,Amputations: Lower Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
100,BMALOREX,.,Missing,Amputations: Lower Right Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
101,BMALORKN,1,Above Knee,Amputations: Lower Right. Above or Below Knee?,Both males and females 0 YEARS - 150 YEARS,nan,,
102,BMALORKN,2,Below Knee,Amputations: Lower Right. Above or Below Knee?,Both males and females 0 YEARS - 150 YEARS,nan,,
103,BMALORKN,.,Missing,Amputations: Lower Right. Above or Below Knee?,Both males and females 0 YEARS - 150 YEARS,nan,,
104,BMALLEXT,1,Yes,Amputations: Lower Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
105,BMALLEXT,2,No,Amputations: Lower Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
106,BMALLEXT,9,Could Not Obtain,Amputations: Lower Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
107,BMALLEXT,.,Missing,Amputations: Lower Left Extremity?,Both males and females 0 YEARS - 150 YEARS,nan,,
108,BMALLKNE,1,Above Knee,Amputations: Lower Left. Above or Below Knee?,Both males and females 0 YEARS - 150 YEARS,nan,,
109,BMALLKNE,2,Below Knee,Amputations: Lower Left. Above or Below Knee?,Both males and females 0 YEARS - 150 YEARS,nan,,
110,BMALLKNE,.,Missing,Amputations: Lower Left. Above or Below Knee?,Both males and females 0 YEARS - 150 YEARS,nan,,
