,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,FCX02DI,,,,,,,,,,,,
2,FCX03DI,,,,,,,,,,,,
3,FCX04DI,,,,,,,,,,,,
4,FCX05DI,,,,,,,,,,,,
5,FCX06DI,,,,,,,,,,,,
6,FCX07DI,,,,,,,,,,,,
7,FCX08DI,,,,,,,,,,,,
8,FCX09DI,,,,,,,,,,,,
9,FCX10DI,,,,,,,,,,,,
10,FCX11DI,,,,,,,,,,,,
11,FCX12DI,,,,,,,,,,,,
12,FCX13DI,,,,,,,,,,,,
13,FCX14DI,,,,,,,,,,,,
14,FCX15DI,,,,,,,,,,,,
15,FCX18DI,,,,,,,,,,,,
16,FCX19DI,,,,,,,,,,,,
17,FCX20DI,,,,,,,,,,,,
18,FCX21DI,,,,,,,,,,,,
19,FCX22DI,,,,,,,,,,,,
20,FCX23DI,,,,,,,,,,,,
21,FCX24DI,,,,,,,,,,,,
22,FCX25DI,,,,,,,,,,,,
23,FCX26DI,,,,,,,,,,,,
24,FCX27DI,,,,,,,,,,,,
25,FCX28DI,,,,,,,,,,,,
26,FCX29DI,,,,,,,,,,,,
27,FCX30DI,,,,,,,,,,,,
28,FCX31DI,,,,,,,,,,,,
