,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
40,OPX1OS07,T6 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
41,OPX1OS08,T2 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
42,OPX1OS09,T5 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
43,OPX1OS10,T1 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
44,OPX1OS11,T7 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
45,OPX1OS12,T3 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
46,OPX1OS13,T8 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
47,OPX1OS14,T4 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
48,OPX1OS15,N3 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
49,OPX1OS16,N7 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
50,OPX1OS17,N4 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
51,OPX1OS18,N8 screening result code - Left Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
52,OPX2ODBS,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 2,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
53,OPX2ODFP,False Positive Test - The ratio of the number of times participant responded to a pause during testing (i.e. no target presented) versus total number of pauses presented - Right Eye - Test 2,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
54,OPX2ODTN,Participant not fixating on target - Technician noted - Right Eye - Test 2,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
55,OPX2OD02,CT screening result codes - Right Eye - Test 2,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
56,OPX2OD03,T6 screening result code - Right Eye - Test 2,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
57,OPX2OD04,T2 screening result code - Right Eye - Test 2,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
