Title,Description,Module_Name,Inline Description,Document,Link
Interviewer Manuals,,2013-2014,,[PDF - 12 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/Intrvwr_Proc_Manual.pdf
Interviewer Manuals,,2015-2016,,[PDF - 33 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2016_Interviewer_Procedures_Manual.pdf
Interviewer Manuals,,2017-2018,,[PDF - 41.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2017_Interviewer_Procedures_Manual.pdf
Interviewer Manuals,,2019-2020,,[PDF - 47.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2020-Interviewer-Procedures-Manual-508.pdf
Interviewer Manuals,,2021-2023,,[PDF - 21.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2022-Interviewer-Procedures-508.pdf
Interviewer Manuals,,2021-2023,,[PDF - 6.22 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2021-Dec-MEC-ACASI-Procedures-508.pdf
Interviewer Manuals,,2013-2014,,[PDF - 13 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/MEC_Interviewer_2013.pdf
Interviewer Manuals,,2015-2016,,[PDF - 22 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2016_MEC_Interviewers_Procedures.pdf
Interviewer Manuals,,2017-2018,,[PDF - 22.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2017_MEC_Interviewers_Procedures.pdf
Interviewer Manuals,,2019-2020,,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/../manuals/2020-MEC-Interviewers-Procedures-Manual-508.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2011-2012,,[PDF - 75 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener1_07_eng.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2013-2014,,[PDF - 116 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener_module_1.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2015-2016,,[PDF - 157 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener_module_1_I.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2017-2018,,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/Screener_Modules_1_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2019-2020,,[PDF - 176 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SCQ_screener_module_1_K.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2021-2023,,[PDF - 171 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SCQ-EN-L-508.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2011-2012,,[PDF - 121 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener1_07_esp.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2011-2012,,[PDF - 78 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener2_07_eng.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2013-2014,,[PDF - 64 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener_module_2.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2015-2016,,[PDF - 58 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener_module_2_I.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2017-2018,,[PDF - 67 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/Screener_Modules_2_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2019-2020,,[PDF - 72.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FSQ_screener_module_2_K.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2021-2023,,[PDF - 194 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SFQ-EN-L-508.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2011-2012,,[PDF - 135 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener2_07_esp.pdf
Screener Module: Web Instrument,The following is a web-based and self-administered questionnaire to collect screener information from an adult household member.,2021-2023,,[PDF - 308 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SCQ-EN-W-L-508.pdf
Screener Module: Paper Instrument,The following is a paper questionnaire that is self-administered by an adult household member to collect screener information and mailed back to NHANES.,2021-2023,,[PDF - 758 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SCQ-EN-P-L-508.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 19 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/cbq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CBQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 19 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CBQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 37 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CBQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 37.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CBQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2021-2023,,[PDF - 118 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CBQ-FAM-L-508.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/dmq_family.pdf
