,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,SDDSRVYR,,,,,,,,,,,,
2,RIDSTATR,,,,,,,,,,,,
3,RIAGENDR,,,,,,,,,,,,
4,RIDAGEYR,,,,,,,,,,,,
5,RIDAGEMN,,,,,,,,,,,,
6,RIDRETH1,,,,,,,,,,,,
7,RIDRETH3,,,,,,,,,,,,
8,RIDEXMON,,,,,,,,,,,,
9,RIDEXAGM,,,,,,,,,,,,
10,DMQMILIZ,,,,,,,,,,,,
11,DMQADFC,,,,,,,,,,,,
12,DMDBORN4,,,,,,,,,,,,
13,DMDCITZN,,,,,,,,,,,,
14,DMDYRSUS,,,,,,,,,,,,
15,DMDEDUC3,,,,,,,,,,,,
16,DMDEDUC2,,,,,,,,,,,,
17,DMDMARTL,,,,,,,,,,,,
18,RIDEXPRG,,,,,,,,,,,,
19,SIALANG,,,,,,,,,,,,
20,SIAPROXY,,,,,,,,,,,,
21,SIAINTRP,,,,,,,,,,,,
22,FIALANG,,,,,,,,,,,,
23,FIAPROXY,,,,,,,,,,,,
24,FIAINTRP,,,,,,,,,,,,
25,MIALANG,,,,,,,,,,,,
26,MIAPROXY,,,,,,,,,,,,
27,MIAINTRP,,,,,,,,,,,,
28,AIALANGA,,,,,,,,,,,,
29,DMDHHSIZ,,,,,,,,,,,,
30,DMDFMSIZ,,,,,,,,,,,,
31,DMDHHSZA,,,,,,,,,,,,
32,DMDHHSZB,,,,,,,,,,,,
33,DMDHHSZE,,,,,,,,,,,,
34,DMDHRGND,,,,,,,,,,,,
35,DMDHRAGE,,,,,,,,,,,,
36,DMDHRBR4,,,,,,,,,,,,
37,DMDHREDU,,,,,,,,,,,,
38,DMDHRMAR,,,,,,,,,,,,
39,DMDHSEDU,,,,,,,,,,,,
40,WTINT2YR,,,,,,,,,,,,
41,WTMEC2YR,,,,,,,,,,,,
42,SDMVPSU,,,,,,,,,,,,
43,SDMVSTRA,,,,,,,,,,,,
44,INDHHIN2,,,,,,,,,,,,
45,INDFMIN2,,,,,,,,,,,,
46,INDFMPIR,,,,,,,,,,,,
