,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,SDDSRVYR,,,,,,,,,,,,
2,RIDSTATR,,,,,,,,,,,,
3,RIDEXMON,,,,,,,,,,,,
4,RIAGENDR,,,,,,,,,,,,
5,RIDAGEYR,,,,,,,,,,,,
6,RIDAGEMN,,,,,,,,,,,,
7,RIDAGEEX,,,,,,,,,,,,
8,RIDRETH1,,,,,,,,,,,,
9,RIDRETH2,,,,,,,,,,,,
10,DMQMILIT,,,,,,,,,,,,
11,DMDBORN,,,,,,,,,,,,
12,DMDCITZN,,,,,,,,,,,,
13,DMDYRSUS,,,,,,,,,,,,
14,DMDEDUC3,,,,,,,,,,,,
15,DMDEDUC2,,,,,,,,,,,,
16,DMDEDUC,,,,,,,,,,,,
17,DMDSCHOL,,,,,,,,,,,,
18,DMDMARTL,,,,,,,,,,,,
19,DMDHHSIZ,,,,,,,,,,,,
20,INDHHINC,,,,,,,,,,,,
21,INDFMINC,,,,,,,,,,,,
22,INDFMPIR,,,,,,,,,,,,
23,RIDEXPRG,,,,,,,,,,,,
24,DMDHRGND,,,,,,,,,,,,
25,DMDHRAGE,,,,,,,,,,,,
26,DMDHRBRN,,,,,,,,,,,,
27,DMDHREDU,,,,,,,,,,,,
28,DMDHRMAR,,,,,,,,,,,,
29,DMDHSEDU,,,,,,,,,,,,
30,SIALANG,,,,,,,,,,,,
31,SIAPROXY,,,,,,,,,,,,
32,SIAINTRP,,,,,,,,,,,,
33,FIALANG,,,,,,,,,,,,
34,FIAPROXY,,,,,,,,,,,,
35,FIAINTRP,,,,,,,,,,,,
36,MIALANG,,,,,,,,,,,,
37,MIAPROXY,,,,,,,,,,,,
38,MIAINTRP,,,,,,,,,,,,
39,AIALANG,,,,,,,,,,,,
40,WTINT2YR,,,,,,,,,,,,
41,WTMEC2YR,,,,,,,,,,,,
42,SDMVPSU,,,,,,,,,,,,
43,SDMVSTRA,,,,,,,,,,,,
