,Column,Code,Label,English_Text,Target,Class,Other For
840,LBDHBG,1,Positive,['Hepatitis B surface antigen'],['Both males and females 6 YEARS - 150 YEARS'],,
841,LBDHBG,2,Negative,['Hepatitis B surface antigen'],['Both males and females 6 YEARS - 150 YEARS'],,
842,LBDHBG,.,Missing,['Hepatitis B surface antigen'],['Both males and females 6 YEARS - 150 YEARS'],,
866,LBDHBG,3,Indeterminate,['Hepatitis B surface antigen'],['Both males and females 6 YEARS - 150 YEARS'],,
876,LBDHCV,1,Positive,['Hepatitis C antibody (confirmed)'],['Both males and females 6 YEARS - 150 YEARS'],,
877,LBDHCV,2,Negative,['Hepatitis C antibody (confirmed)'],['Both males and females 6 YEARS - 150 YEARS'],,
878,LBDHCV,5,Indeterminate,['Hepatitis C antibody (confirmed)'],['Both males and females 6 YEARS - 150 YEARS'],,
879,LBDHCV,.,Missing,['Hepatitis C antibody (confirmed)'],['Both males and females 6 YEARS - 150 YEARS'],,
904,LBXHCR,1,Positive,"['Hepatitis C RNA (HCV-RNA)', 'Hepatitis C RNA']",['Both males and females 6 YEARS - 150 YEARS'],,
905,LBXHCR,2,Negative,"['Hepatitis C RNA (HCV-RNA)', 'Hepatitis C RNA']",['Both males and females 6 YEARS - 150 YEARS'],,
906,LBXHCR,.,Missing,"['Hepatitis C RNA (HCV-RNA)', 'Hepatitis C RNA']",['Both males and females 6 YEARS - 150 YEARS'],,
924,LBXHCR,3,Negative Screening Hcv Antibody,"['Hepatitis C RNA (HCV-RNA)', 'Hepatitis C RNA']",['Both males and females 6 YEARS - 150 YEARS'],,
938,LBDHD,1,Positive,"['Hepatitis D (anti-HDV)', 'Hepatitis D antibody (anti-HDV)']",['Both males and females 6 YEARS - 150 YEARS'],,
939,LBDHD,2,Negative,"['Hepatitis D (anti-HDV)', 'Hepatitis D antibody (anti-HDV)']",['Both males and females 6 YEARS - 150 YEARS'],,
940,LBDHD,.,Missing,"['Hepatitis D (anti-HDV)', 'Hepatitis D antibody (anti-HDV)']",['Both males and females 6 YEARS - 150 YEARS'],,
964,LBDHD,3,Indeterminate,"['Hepatitis D (anti-HDV)', 'Hepatitis D antibody (anti-HDV)']",['Both males and females 6 YEARS - 150 YEARS'],,
974,LBDHI,1,Positive,"['HIV antibody test result', 'HIV Result (western blot)']","['Both males and females 18 YEARS - 49 YEARS', 'Both males and females 18 YEARS - 59 YEARS']",,
