Lab Method Name,Documentation,Release Date,PDF Link
Lab 02 Hepatitis B Core Antibody,[PDF - 102 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l02_b_met_hep_b.pdf
Lab 02 Hepatitis B Surface Antibody,[PDF - 151 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l02_b_met_hep_b_surface_antibody.pdf
Lab 02 Hepatitis B Surface Antigen,[PDF - 198 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l02_b_met_hep_b_antigen.pdf
Lab 02 Hepatitis C EIA and RIBA,[PDF - 167 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l02_b_met_hepatitis_c_eia_riba.pdf
Lab 02 Hepatitis D,[PDF - 153 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l02_b_met_hep_d.pdf
Lab 03 CD4+ and CD8+,[PDF - 205 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l03_b_met_cd4_cd8.pdf
Lab 03 HIV Serum EIA and Western Blot Test,[PDF - 143 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l03_b_met_hiv_serum_eia_western_blot.pdf
Lab 03 HIV Urine EIA,[PDF - 65 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l03_b_met_hiv_urine_eia.pdf
Lab 04 Volatile Organic Compounds (Blood),[PDF - 352 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l04voc_b_met_in_blood.pdf
Lab 04 Volatile Organic Compounds (Water),[PDF - 401 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l04voc_b_met_in_water.pdf
Lab 05 Chlamydia,[PDF - 104 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l05_b_met_chlamydia.pdf
Lab 05 Gonorrhea,[PDF - 105 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l05_b_met_gonorrhea.pdf
Lab 06 25-Hydroxyvitamin D,[PDF - 212 KB],October 2015,https://wwwn.cdc.gov/nchs/nhanes/vitamind/analyticalnote.aspx?h=/nchs/data/nhanes/public/2001/labmethods/VID_B_met_Vitamin_D.pdf&t=2001-2002%20Vitamin%20D%20Lab%20Method
Lab 06 Blood Mercury,[PDF - 233 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_blood_mercury.pdf
Lab 06 Cotinine,[PDF - 343 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_cotinine.pdf
Lab 06 Ferritin,[PDF - 116 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_ferritin.pdf
Lab 06 Folate and B12,[PDF - 285 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_folate_b12.pdf
Lab 06 Homocysteine_Axsym,[PDF - 223 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_homocysteine_axsym.pdf
Lab 06 Homocysteine_IMX,[PDF - 166 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_homocysteine_imx.pdf
Lab 06 Lead and Cadmium,[PDF - 326 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_lead_and_cadmium.pdf
Lab 06 Methylmalonic Acid,[PDF - 173 KB],Updated July 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_methylmalonic_acid.pdf
Lab 06 Multiple Toxic Elements,[PDF - 764 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06hm_b_met.pdf
Lab 06 Urinary Iodine,[PDF - 318 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06uio_b_met.pdf
Lab 06 Urine Mercury,[PDF - 214 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06_b_met_urine_mercury.pdf
"Lab 06 Vitamins A, E, and Carotenoids",[PDF - 410 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l06vit_b_met_aecar.pdf
Lab 09 Herpes Simplex Virus 1 & 2,[PDF - 113 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l09_b_met_hsv.pdf
Lab 10 Glycohemoglobin,[PDF - 284 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l10_b_met_glycohemoglobin.pdf
Lab 10AM C-Peptide,[PDF - 254 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l10am_b_met_cpeptide.pdf
Lab 10AM Insulin,[PDF - 256 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l10am_b_met_insulin.pdf
Lab 10AM Plasma Glucose,[PDF - 263 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l10am_b_met_glucose.pdf
Lab 11 Bone Alkaline Phosphatase - Beckman Coulter Ostase Assay,[PDF - 795 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11_b_met_bap_access.pdf
Lab 11 Bone Alkaline Phosphatase - Hybritech Tandem-MP Ostase ImmunoEnzymetric,[PDF - 137 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11_b_met_bap_ostase.pdf
Lab 11 C Reactive Protein,[PDF - 126 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11_b_met_c_reactive_protein.pdf
Lab 11 Fibrinogen,[PDF - 116 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11_b_met_fibrinogen.pdf
Lab 11 N Telopeptide in Urine - Enzyme Immunoassay,[PDF - 175 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11_b_met_ntx_eia.pdf
Lab 11 N Telopeptide in Urine - Vitros Immunoassay,[PDF - 173 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11_b_met_ntx_vitros.pdf
Lab 11psa Free PSA,[PDF - 148 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11psa_b_met_free_psa.pdf
Lab 11psa Total PSA,[PDF - 152 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l11psa_b_met_total_psa.pdf
Lab 13 Lipids,[PDF - 329 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l13_b_met_lipids.pdf
Lab 16 Creatinine,[PDF - 171 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l16_b_met_creatinine.pdf
Lab 16 Urine Albumin,[PDF - 219 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l16_b_met_urine_albumin.pdf
Lab 17 Toxoplasma confirmation tests,[PDF - 36 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l17_b_met_toxo_confirm.pdf
Lab 17 Toxoplasma IgG antibodies,[PDF - 152 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l17_b_met_toxo_igg.pdf
Lab 17 Toxoplasma IgM antibodies,[PDF - 79 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l17_b_met_toxo_igm.pdf
Lab 18 Biochemistry Profile,[PDF - 728 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l18_b_met_biochemistry_profile.pdf
Lab 18 Follicle Stimulating Hormone,[PDF - 122 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l18_b_met_follicle_stimulating_hormone.pdf
Lab 18 Luteinzing Hormone,[PDF - 129 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l18_b_met_luteinizing_hormone.pdf
Lab 18 Thyroid Stimulating Hormone,[PDF - 194 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l18t4_b_met_b_tsh.pdf
Lab 18 Thyroxin,[PDF - 163 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l18t4_b_met_b_t4.pdf
"Lab 19 Measles, Rubella, and Varicella",[PDF - 293 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l19_b_met.pdf
Lab 20 Lead Dust,[PDF - 132 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l20_b_met_lead_dust.pdf
Lab 25 Complete Blood Count,[PDF - 504 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/labmethods/l25_b_met_complete_blood_count.pdf
