TTitleitulo,Description,Module_Name,Document,Link
Interview,,MEC Interviewers Procedures Manual (Chapter 5),[PDF - 1.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/c5_int.pdf
Interview,,MEC Interviewers Procedures Manual (Chapter 6 Sections 1-2),[PDF - 2.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/C6-3a_INT.pdf
Interview,,MEC Interviewers Procedures Manual (Chapter 6 Sections 3),[PDF - 3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/C6-3b_INT.pdf
Interview,,MEC Interviewers Procedures Manual (Chapter 6 Sections 4-5),[PDF - 4.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/C6-4-5_INT.pdf
Interview,,MEC Interviewers Procedures Manual (Chapters 1-4),[PDF - 1.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/c1-4_int.pdf
Interview,,MEC Interviewers Procedures Manual (Chapters 7-8 Appendix A),[PDF - 3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/c7-8_int.pdf
Examination,,Audiometry,[PDF - 6.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/au.pdf
Examination,,Balance,[PDF - 351 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/ba.pdf
Examination,,Body Composition,[PDF - 1.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/body_composition_year_3.pdf
Examination,,Body Measurements,[PDF - 731 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/body_measures_year_3.pdf
Examination,,Cardiovascular Fitness,[PDF - 6.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/cv_99-04.pdf
Examination,,Composite International Diagnostic Interview,[PDF - 162 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/cidi_manual.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/dietary_year_3.pdf
Examination,,Dietary Interviewer - Phone Follow-UpMeasuring Guides for the Dietary Recall Interview,[PDF - 8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/phone_followup_year_3.pdf
Examination,,Lower Extremity Disease,[PDF - 2.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/le.pdf
Examination,,Muscle Strength,[PDF - 692 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/muscle_strength_year_3.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 1.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/oh-e.pdf
Examination,,Oral Health (Dental Recorder),[PDF - 589 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/oh-r.pdf
Examination,,Physician,[PDF - 4.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/physician_year_3.pdf
Examination,,Specimen Collection,[PDF - 465 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/specimen_collection_year_3.pdf
Examination,,Vision,[PDF - 835 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/manuals/vision_year_3.pdf
