TTitleitulo,Description,Module_Name,Document,Link,Title
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 270 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/screeners.pdf,
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 31 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/scr-mod2.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background/Occupation,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_dmq.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 110 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_fsq.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Health Insurance,[PDF - 123 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_hiq.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 79 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_hoq.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 184 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_inq.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Pesticide Use,[PDF - 72 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_puq.pdf,
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Smoking,[PDF - 59 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/fam_smq.pdf,
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Acculturation,[PDF - 65 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2001/questionnaires/sp_acq.pdf,
