Title,Description,Module_Name,Document,Link
Interview,,MEC Interviewers Procedures Manual,[PDF - 12.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/MECInterviewers.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 8.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/lab.pdf
Examination,,Anthropometry (Body Measures),[PDF - 4.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/BodyMeasures_09.pdf
Examination,,Audiometry,[PDF - 4.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/audiometry_09.pdf
Examination,,Blood Pressure (Health Tech),[PDF - 1.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/BP.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 6.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/mec_in_person_dietary_procedures_manual_mar_2010.pdf
Examination,,Dietary Interviewer - Phone Follow-Up,[PDF - 7.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/phone_follow_up_dietary_procedures_manual_mar_2010.pdf
Examination,,Dual-Energy X-ray Absorptiometry (DEXA) Scan,[PDF - 3.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/manual_dexa.pdf
Examination,,Home Urine,[PDF - 1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/HomeUrine.pdf
Examination,,HPV Oral Rinse,[PDF - 486 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/HPV.pdf
Examination,,Oral Glucose Tolerance,[PDF - .4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/OGTT.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 2.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/OralHealth_Examiners.pdf
Examination,,Physician,[PDF - 5.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/physician.pdf
Examination,,Respiratory Health - Bronchodilator,[PDF - 1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/Bronchodilator.pdf
Examination,,Respiratory Health - Exhaled Nitric Oxide,[PDF - 1.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/ENO.pdf
Examination,,Respiratory Health - Spirometry,[PDF - 1.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/spirometry.pdf
Examination,,Volatile Organic Compounds and Perchlorate,[PDF - 1.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/manuals/VOC.pdf
