Lab Method Name,Documentation,Release Date,PDF Link
Alanine Amino Transferase (ALT),[PDF - 238 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_ALT.pdf
Albumin,[PDF - 258 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_albumin.pdf
Alkaline Phosphatase (ALP),[PDF - 231 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_ALP.pdf
Apolipoprotein B,[PDF - 362 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/ApoB_F_met.pdf
"Arsenobetaine, Arsenocholine, Trimethylarsine oxide, Monomethylarsonic acid, Dimethylarsinic acid, Arsenous (III) acid, Arsenic (V) acid, Total Arsenic",[PDF - 2.35 MB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/UAS_F_met_arsenic.pdf
Aspartate Aminotransferase (AST),[PDF - 229 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_AST.pdf
Bicarbonate (HCO3),[PDF - 411 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_bicarbonate.pdf
Bilirubin,[PDF - 233 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_BILirubin.pdf
Blood Urea Nitrogen (BUN),[PDF - 233 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_BUN.pdf
Caffeine and caffeine metabolites,[PDF - 1.3 MB],July 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/CAFE_F_met.pdf
Chlamydia trachomatis,[PDF - 120 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/CHLMDA_F_met_chlamydia.pdf
Chloride,[PDF - 273 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_Chloride.pdf
Cholesterol,[PDF - 251 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_cholesterol.pdf
Complete Blood Count,[PDF - 5.48 MB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/CBC_F_met_HE.pdf
Complex Prostate-Specific Antigen (PSA),[PDF - 265 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PSA_F_met_complex.pdf
Cotinine,[PDF - 839 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/COT_F_met.pdf
C-Reactive Protein,[PDF - 314 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/CRP_F_met.pdf
Creatinine,[PDF - 226 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_creatinine.pdf
Endomysial Antibody Assay,[PDF - 42 KB],September 2012,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/TGEMA_F_met_.pdf
Environmental Pesticides,[PDF - 603 KB],August 2012,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PP_F_met_phenols.pdf
Environmental Phenol,[PDF - 864 KB],August 2012,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/EPH_F_met_phenols_parabens.pdf
Fasting Glucose,[PDF - 223 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/GLU_F_met_Fasting_Glucose_ModP.pdf
Ferritin,[PDF - 194 KB],February 2012,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/FERTIN_F_met_ferritin.pdf
Free Prostate-Specific Antigen (PSA),[PDF - 277 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PSA_F_met%20_free.pdf
Free Thyroxine (Free T4) (Collaborative Laboratory Services ),[PDF - 305 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Free_T4_access_CLS.pdf
Free Thyroxine (Free T4) (University of Washington Medical Center),[PDF - 312 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Free_T4_access.pdf
"Free Triiodothyronine, Free T3 (Collaborative Laboratory Services)",[PDF - 295 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Free_T3_CLS.pdf
"Free Triiodothyronine, Free T3 (University of Washington Medical Center)",[PDF - 266 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Free_T3.pdf
Gamma-Glutamyl Transferase (GGT),[PDF - 265 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_GTT.pdf
Glucose,[PDF - 229 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_glucose.pdf
Glycohemoglobin,[PDF - 248 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/GHB_F_met_Tosoh%20G7.pdf
HDL- Cholesterol,[PDF - 314 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HDL_F_met.pdf
"Heavy Metals - Antimony, Barium, Beryllium, Cadmium, Cesium, Cobalt, Lead, Molybdenum, Platinum, Thallium, Tungsten, and Uranium",[PDF - 3.01 MB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/UHM_F_met_heavy%20metals.pdf
Hepatitis A Antibody,[PDF - 656 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPA_F_met.pdf
Hepatitis B Core Antibody,[PDF - 828 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPBD_F_met_hep_b_core_antibody.pdf
Hepatitis B Surface Antibody (anti-HBs),[PDF - 696 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPB_S_F_met_hep_b_surface_antibody.pdf
Hepatitis B Surface Antigen (HBsAg),[PDF - 860 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPBD_F_met_surface_antigen.pdf
Hepatitis C Antibody / Hepatitis C Confirmatory Test (Anti-HCV),[PDF - 795 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPC_F_met_hepc.pdf
Hepatitis C Genotype,[PDF - 296 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPC_F_met_LBXHCG.pdf
Hepatitis C RNA Qualitative Assay for Hepatitis C Virus,[PDF - 208 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPC_F_met_LBXHCR.pdf
Hepatitis D Antibody,[PDF - 96 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPBD_F_met_hepatitis_d.pdf
Hepatitis E Antibody (IgG),[PDF - 121 KB],January 2012,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPE_F_met_IgG_antibody.pdf
Hepatitis E Antibody (IgM),[PDF - 119 KB],January 2012,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HEPE_F_met_IgM_antibody.pdf
Herpes Simplex Virus Type 1 & 2,[PDF - 81 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/hsv_f_met_herpes_1_2.pdf
HIV Antibody / HIV Western Blot Confirmatory Test,[PDF - 172 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HIV_F_met_eia_WB.pdf
HPV Serum Multiplex Luminex,[PDF - 84 KB],December 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HPVSER_F_met.pdf
HPV Vaginal Swab Digene High Risk,[PDF - 424 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HPVSWR_F_MET_Digene.pdf
HPV Vaginal Swab Linear Array,[PDF - 846 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/HPVSWR_F_MET_LA.pdf
Human Papillomavirus - Oral Rinse,[PDF - 170 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/ORHPV_F_met.pdf
Insulin - Elecsys 2010 Immunoassay,[PDF - 408 KB],August 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/ins_f_met_insulin_elecsys_2010_immunoassay.pdf
Insulin - Mercodia ELISA,[PDF - 840 KB],August 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/INS_F_met_insulin_Merocodia_ELISA.pdf
Iodine & Mercury,[PDF - 769 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/UIOUHG_F_met_iodine_mercury.pdf
Iron,[PDF - 238 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_iron.pdf
Lactate Dehydrogenase,[PDF - 243 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_LDH.pdf
Lead Cadmium Mercury,[PDF - 892 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PbCd_F_met.pdf
Measles Antibody,[PDF - 117 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/MMRV_F_met_Measles.pdf
Mercury,[PDF - 571 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/UHG_F_met_mercury.pdf
Monohydroxy-Polycyclic Aromatic Hydrocarbons,[PDF - 1.61 MB],August 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PAH_F_MET_POLYAROMATIC_HYDROCARBONS_URINE.pdf
Mumps Antibody,[PDF - 104 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/MMRV_F_met_Mumps.pdf
"N,N-diethyl-3-methylbenzamide, N,Ndiethyl-3-hydroxymethylbenzamide, and 3-diethyl-carbamoyl benzoic acid",[PDF - 597 KB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/DEET_F_met.pdf
Osmolality,[PDF - 496 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/UCOSMO_F_met.pdf
PCBs and Persistent Pesticides,[PDF - 3.21 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PCBPOL_F_MET.pdf
"Perchlorate, Nitrate, and Thiocyanate",[PDF - 443 KB],April 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PERNT_F_met.pdf
Phosphorus,[PDF - 233 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_phosphorus.pdf
Polybrominated diphenyl ethers (PBDEs),[PDF - 2.16 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BFRPOL_F_MET.pdf
Polychlorinated dibenzo-p-dioxins and furans (PCDD/F) and co-planar polychlorinated biphenyls (cPCB),[PDF - 2.9 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/DOXPOL_F_MET.pdf
Polyfluoroalkyl chemicals,[PDF - 3.17 MB],December 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PFC_F_Polyfluorinated_Compounds_met.pdf
Potassium,[PDF - 248 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_potassium.pdf
PSTPOL_F method with QC charts,[PDF - 2.33 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PSTPOL_F_MET.pdf
Rubella Antibody,[PDF - 125 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/MMRV_F_met_Rubella.pdf
Sodium,[PDF - 286 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_sodium.pdf
"Specific Organophosphorous Pesticides, Synthetic Pyrethroids, and Select Herbicides (Universal Pesticides)",[PDF - 999 KB],August 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/UPHOPM_F_met.pdf
Thyroglobulin Antibodies (Collaborative Laboratory Services),[PDF - 311 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Thyroglobulin%20Antibodies_CLS.pdf
Thyroglobulin Antibodies (University of Washington Medical Center),[PDF - 335 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Thyroglobulin%20Antibodies.pdf
"Thyroglobulin, (TGN) (Collaborative Laboratory Services)",[PDF - 249 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Thyroglobin_CLS.pdf
"Thyroglobulin, (TGN) (University of Washington Medical Center)",[PDF - 286 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Thyroglobin.pdf
Thyroid Peroxidase Antibodies (Collaborative Laboratory Services),[PDF - 304 KB],Updated April 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Thyroid_Peroxidase_Antibodies_CLS.pdf
Thyroid Peroxidase Antibodies (University of Washington Medical Center),[PDF - 315 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_Thyroid_Peroxidase_Antibodies.pdf
Thyroid Stimulating Hormone (TSH) (Collaborative Laboratory Services ),[PDF - 240 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_TSH_CLS.pdf
Thyroid Stimulating Hormone (TSH) (University of Washington Medical Center),[PDF - 319 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_TSH.pdf
Tissue Transglutaminase Assay (IgA),[PDF - 42 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/TGEMA_F_met.pdf
Total and Inorganic Mercury,[PDF - 774 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THGIHG_F_met_Total_Inorganic%20mercury.pdf
Total Calcium,[PDF - 240 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_calcium.pdf
Total Cholesterol,[PDF - 341 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/TCHOL_F_met.pdf
Total Prostate-Specific Antigen (PSA),[PDF - 263 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/PSA_F_met_total.pdf
Total Protein,[PDF - 290 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/BIOPRO_F_met_protein.pdf
"Total Thyroxine, Total T4 (Collaborative Laboratory Services)",[PDF - 16 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_TT4_CLS.pdf
"Total Thyroxine, Total T4 (University of Washington Medical Center)",[PDF - 338 KB],September 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/labmethods/THYROD_F_met_TT4.pdf
