,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Females only 20 YEARS - 150 YEARS,,,,,,,,,,,,,
1,SSHE4,Human epididymal. secretory protein pM,Females only 20 YEARS - 150 YEARS,,,,,,,,,,,,,
