,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTFAS2YR,,,,,,,,,,,,
2,LBXCAP,,,,,,,,,,,,
3,LBDCAPLC,,,,,,,,,,,,
4,LBXLAR,,,,,,,,,,,,
5,LBDLARLC,,,,,,,,,,,,
6,LBXMR1,,,,,,,,,,,,
7,LBDMR1LC,,,,,,,,,,,,
8,LBXPEN,,,,,,,,,,,,
9,LBDPENLC,,,,,,,,,,,,
10,LBXPM1,,,,,,,,,,,,
11,LBDPM1LC,,,,,,,,,,,,
12,LBXMRG,,,,,,,,,,,,
13,LBDMRGLC,,,,,,,,,,,,
14,LBXST1,,,,,,,,,,,,
15,LBDST1LC,,,,,,,,,,,,
16,LBXAR1,,,,,,,,,,,,
17,LBDAR1LC,,,,,,,,,,,,
18,LBXDA1,,,,,,,,,,,,
19,LBDDA1LC,,,,,,,,,,,,
20,LBXTSA,,,,,,,,,,,,
21,LBDTSALC,,,,,,,,,,,,
22,LBXLG1,,,,,,,,,,,,
23,LBDLG1LC,,,,,,,,,,,,
24,LBXML1,,,,,,,,,,,,
25,LBDML1LC,,,,,,,,,,,,
26,LBXPL1,,,,,,,,,,,,
27,LBDPL1LC,,,,,,,,,,,,
28,LBXVC1,,,,,,,,,,,,
29,LBDVC1LC,,,,,,,,,,,,
30,LBXOL1,,,,,,,,,,,,
31,LBDOL1LC,,,,,,,,,,,,
32,LBXEN1,,,,,,,,,,,,
33,LBDEN1LC,,,,,,,,,,,,
34,LBXNR1,,,,,,,,,,,,
35,LBDNR1LC,,,,,,,,,,,,
36,LBXLNA,,,,,,,,,,,,
37,LBDLNALC,,,,,,,,,,,,
38,LBXALN,,,,,,,,,,,,
39,LBDALNLC,,,,,,,,,,,,
40,LBXGLA,,,,,,,,,,,,
41,LBDGLALC,,,,,,,,,,,,
42,LBXSD1,,,,,,,,,,,,
43,LBDSD1LC,,,,,,,,,,,,
44,LBXED1,,,,,,,,,,,,
45,LBDED1LC,,,,,,,,,,,,
46,LBXHGL,,,,,,,,,,,,
47,LBDHGLLC,,,,,,,,,,,,
48,LBXET1,,,,,,,,,,,,
49,LBDET1LC,,,,,,,,,,,,
50,LBXARA,,,,,,,,,,,,
51,LBDARALC,,,,,,,,,,,,
52,LBXEPA,,,,,,,,,,,,
53,LBDEPALC,,,,,,,,,,,,
54,LBXDTA,,,,,,,,,,,,
55,LBDDTALC,,,,,,,,,,,,
56,LBXDP3,,,,,,,,,,,,
57,LBDDP3LC,,,,,,,,,,,,
58,LBXDP6,,,,,,,,,,,,
59,LBDDP6LC,,,,,,,,,,,,
60,LBXDHA,,,,,,,,,,,,
61,LBDDHALC,,,,,,,,,,,,
