,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSA2YR,,,,,,,,,,,,
2,LBXSCU,,,,,,,,,,,,
3,LBDSCUSI,,,,,,,,,,,,
4,LBXSSE,,,,,,,,,,,,
5,LBDSSESI,,,,,,,,,,,,
6,LBXSZN,,,,,,,,,,,,
7,LBDSZNSI,,,,,,,,,,,,
8,URXUCR,,,,,,,,,,,,
