,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
47,WTSPH43,Phthalate Mec Weight Jack Knife Rep 43,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
48,WTSPH44,Phthalate Mec Weight Jack Knife Rep 44,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
49,WTSPH45,Phthalate Mec Weight Jack Knife Rep 45,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
50,WTSPH46,Phthalate Mec Weight Jack Knife Rep 46,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
51,WTSPH47,Phthalate Mec Weight Jack Knife Rep 47,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
52,WTSPH48,Phthalate Mec Weight Jack Knife Rep 48,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
53,WTSPH49,Phthalate Mec Weight Jack Knife Rep 49,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
54,WTSPH50,Phthalate Mec Weight Jack Knife Rep 50,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
55,WTSPH51,Phthalate Mec Weight Jack Knife Rep 51,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
56,WTSPH52,Phthalate Mec Weight Jack Knife Rep 52,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
