,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSA2YR,Two-year MEC weights of subsample A,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,LBXPFOA,Perfluorooctanoic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,LBDPFOAL,Perfluorooctanoic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,LBXPFOS,Perfluorooctane sulfonic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,LBDPFOSL,Perfluorooctane sulfonic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,LBXPFHS,Perfluorohexane sulfonic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,LBDPFHSL,Perfluorohexane sulfonic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,LBXEPAH,2-(N-Ethyl-perfluorooctane sulfonamido) acetic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,LBDEPAHL,2-(N-Ethyl-perfluorooctane sulfonamido) acetic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,LBXMPAH,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,LBDMPAHL,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,LBXPFDE,Pefluorodecanoic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
13,LBDPFDEL,Pefluorodecanoic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
14,LBXPFBS,Perfluorobutane sulfonic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
15,LBDPFBSL,Perfluorobutane sulfonic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
16,LBXPFHP,Perfluoroheptanoic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
17,LBDPFHPL,Perfluoroheptanoic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
18,LBXPFNA,Perfluorononanoic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
19,LBDPFNAL,Perfluorononanoic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
20,LBXPFSA,Perfluorooctane sulfonamide,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
21,LBDPFSAL,Perfluorooctane sulfonamide comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
22,LBXPFUA,Perfluoroundecanoic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
23,LBDPFUAL,Perfluoroundecanoic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
24,LBXPFDO,Perfluorododecanoic acid,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
25,LBDPFDOL,Perflurododecanoic acid comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
