,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTFSM,,,,,,,,,,,,
2,URXUCR,,,,,,,,,,,,
3,URXUAS,,,,,,,,,,,,
4,URDUASLC,,,,,,,,,,,,
5,URXUAS3,,,,,,,,,,,,
6,URDUA3LC,,,,,,,,,,,,
7,URXUAS5,,,,,,,,,,,,
8,URDUA5LC,,,,,,,,,,,,
9,URXUAB,,,,,,,,,,,,
10,URDUABLC,,,,,,,,,,,,
11,URXUAC,,,,,,,,,,,,
12,URDUACLC,,,,,,,,,,,,
13,URXUDMA,,,,,,,,,,,,
14,URDUDALC,,,,,,,,,,,,
15,URXUMMA,,,,,,,,,,,,
16,URDUMMAL,,,,,,,,,,,,
17,URXUTM,,,,,,,,,,,,
18,URDUTMLC,,,,,,,,,,,,
