,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
1,URXUMA,Albumin urine (ug/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
2,URXUMS,Albumin urine (mg/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
3,URXUCR,Creatinine urine (mg/dL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
4,URXCRS,Creatinine urine (umol/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
5,URDACT,First albumin creatinine ratio (mg/g),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
6,URXUMA2,Second albumin (ug/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
7,URDUMA2S,Second albumin urine (mg/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
8,URXUCR2,Second creatinine (mg/dL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
9,URDUCR2S,Second creatinine urine (umol/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
10,URDACT2,Second albumin creatinine ratio (mg/g),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
