,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
142,LBC187LA,0.1344 To 48.92,Range Of Values,2234556-Heptachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
143,LBC187LA,.,Missing,2234556-Heptachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
144,LBD187LC,0,At Or Above The Detection Limit,2234556-Heptachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
145,LBD187LC,1,Below Lower Detection Limit,2234556-Heptachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
146,LBD187LC,.,Missing,2234556-Heptachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
147,LBC189,0.7071 To 41.03,Range Of Values,2334455-Heptachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
148,LBC189,.,Missing,2334455-Heptachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
149,LBC189LA,0.08485 To 7.322,Range Of Values,2334455-Heptachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
150,LBC189LA,.,Missing,2334455-Heptachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
151,LBD189LC,0,At Or Above The Detection Limit,2334455-Heptachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
152,LBD189LC,1,Below Lower Detection Limit,2334455-Heptachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
153,LBD189LC,.,Missing,2334455-Heptachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
154,LBC194,0.7071 To 144,Range Of Values,22334455-Octachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
155,LBC194,.,Missing,22334455-Octachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
156,LBC194LA,0.1344 To 27.42,Range Of Values,22334455-Octachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
157,LBC194LA,.,Missing,22334455-Octachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
158,LBD194LC,0,At Or Above The Detection Limit,22334455-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
159,LBD194LC,1,Below Lower Detection Limit,22334455-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
160,LBD194LC,.,Missing,22334455-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
161,LBC196,0.7071 To 147.8,Range Of Values,22334456- and 22344556-Octachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
162,LBC196,.,Missing,22334456- and 22344556-Octachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
163,LBC196LA,0.1838 To 28.77,Range Of Values,22334456- and 22344556-Octachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
164,LBC196LA,.,Missing,22334456- and 22344556-Octachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
165,LBD196LC,0,At Or Above The Detection Limit,22334456- and 22344556-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
166,LBD196LC,1,Below Lower Detection Limit,22334456- and 22344556-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
167,LBD196LC,.,Missing,22334456- and 22344556-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
168,LBC199,0.7071 To 220.7,Range Of Values,22334566-Octachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
