,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSA2YR,Subsample A Weight,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
2,URXCOTT,Total Cotinine urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
3,URDCOTLC,Total Cotinine urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
4,URXHCTT,Total Hydroxycotinine urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
5,URDHCTLC,Total Hydroxycotinine urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
6,URXANBT,Anabasine urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
7,URDANBLC,Anabasine urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
8,URXANTT,Anatabine urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
9,URDANTLC,Anatabine urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
10,URXCOXT,Cotinine-n-oxide urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
11,URDCOXLC,Cotinine-n-oxide urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
12,URXNICT,Nicotine urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
13,URDNICLC,Nicotine urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
14,URXNNCT,Nornicotine urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
15,URDNCTLC,Nornicotine urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
16,URXNOXT,Nicotine-1 N-oxide urine (ng/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
17,URDNOXLC,Nicotine-1 N-oxide urine Comment Code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
18,URDTNE2,Total Nicotine Equivalents (TNE) - 2 (nmol/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
19,URDTNE3,Total Nicotine Equivalents (TNE) - 3 (nmol/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
20,URDTNE6,Total Nicotine Equivalents (TNE) - 6 (nmol/mL),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
