,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,LBXIHG,,,,,,,,,,,,
2,LBDIHGSI,,,,,,,,,,,,
3,LBDIHGLC,,,,,,,,,,,,
4,LBXBGE,,,,,,,,,,,,
5,LBDBGESI,,,,,,,,,,,,
6,LBDBGELC,,,,,,,,,,,,
7,LBXBGM,,,,,,,,,,,,
8,LBDBGMSI,,,,,,,,,,,,
9,LBDBGMLC,,,,,,,,,,,,
