"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_D","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""587.82468143 to 338460.18501"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9349"", ""601""]; Cumulative=[""9349"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""790.46780496 to 358726.40791"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8429"", ""1521""]; Cumulative=[""8429"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2DRSTZ","DR2DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""8264"", ""87"", ""165"", ""1434"", ""0""]; Cumulative=[""8264"", ""8351"", ""8516"", ""9950"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DR2EXMER","DR2EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""11 to 97"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8516"", ""1434""]; Cumulative=[""8516"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DRABF","DRABF","Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. ","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""184"", ""9165"", ""601""]; Cumulative=[""184"", ""9349"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""920"", ""8429"", ""601""]; Cumulative=[""920"", ""9349"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DR2DAY","DR2DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1442"", ""1964"", ""1792"", ""2052"", ""441"", ""631"", ""194"", ""1434""]; Cumulative=[""1442"", ""3406"", ""5198"", ""7250"", ""7691"", ""8322"", ""8516"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DR2LANG","DR2LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Missing""]; Count=[""7481"", ""1099"", ""87"", ""2"", ""1281""]; Cumulative=[""7481"", ""8580"", ""8667"", ""8669"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DR2MNRSP","DR2MNRSP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6083"", ""2089"", ""106"", ""40"", ""6"", ""13"", ""3"", ""39"", ""4"", ""0"", ""4"", ""36"", ""1"", ""0"", ""3"", ""1523""]; Cumulative=[""6083"", ""8172"", ""8278"", ""8318"", ""8324"", ""8337"", ""8340"", ""8379"", ""8383"", ""8383"", ""8387"", ""8423"", ""8424"", ""8424"", ""8427"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DR2HELPD","DR2HELPD","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No one"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""318"", ""286"", ""52"", ""162"", ""21"", ""14"", ""3"", ""13"", ""5"", ""6"", ""11"", ""38"", ""7474"", ""0"", ""0"", ""5"", ""1542""]; Cumulative=[""318"", ""604"", ""656"", ""818"", ""839"", ""853"", ""856"", ""869"", ""874"", ""880"", ""891"", ""929"", ""8403"", ""8403"", ""8403"", ""8408"", ""9950""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_D","DR2TNUMF","DR2TNUMF","Number of foods reported","Total number of foods reported in the individual foods file","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 49"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8429"", ""1521""]; Cumulative=[""8429"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
