"Data.File.Name","Data.File.Description","Component","Begin.Year","EndYear"
"DRXFMT","Dietary Interview Technical Support File - Food Code Format File","Dietary",1999,2000
"DRXIFF","Dietary Interview - Individual Foods","Dietary",1999,2000
"DRXTOT","Dietary Interview - Total Nutrient Intakes","Dietary",1999,2000
"DSBI","Dietary Supplement Database - Blend Information","Dietary",1999,2020
"DSII","Dietary Supplement Database - Ingredient Information","Dietary",1999,2020
"DSPI","Dietary Supplement Database - Product Information","Dietary",1999,2020
"DSQFILE1","Dietary Supplement Use 30-Day - File 1, Supplement Counts","Dietary",1999,2000
"DSQFILE2","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","Dietary",1999,2000
"DRXFMT_B","Dietary Interview Technical Support File - Food Code Format File","Dietary",2001,2002
"DRXIFF_B","Dietary Interview - Individual Foods","Dietary",2001,2002
"DRXTOT_B","Dietary Interview - Total Nutrient Intakes","Dietary",2001,2002
"DSQ1_B","Dietary Supplement Use 30-Day - File 1, Supplement Counts","Dietary",2001,2002
"DSQ2_B","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","Dietary",2001,2002
"DR1IFF_C","Dietary Interview - Individual Foods, First Day","Dietary",2003,2004
"DR1TOT_C","Dietary Interview - Total Nutrient Intakes, First Day","Dietary",2003,2004
"DR2IFF_C","Dietary Interview - Individual Foods, Second Day","Dietary",2003,2004
"DR2TOT_C","Dietary Interview - Total Nutrient Intakes, Second Day","Dietary",2003,2004
"DRXFCD_C","Dietary Interview Technical Support File - Food Codes","Dietary",2003,2004
"DRXMCD_C","Dietary Interview Technical Support File - Modification Codes","Dietary",2003,2004
"DSQ1_C","Dietary Supplement Use 30-Day - File 1, Supplement Counts","Dietary",2003,2004
"DSQ2_C","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","Dietary",2003,2004
"FFQDC_C","Food Frequency Questionnaire - Output from DietCalc Software","Dietary",2003,2004
"FFQRAW_C","Food Frequency Questionnaire - Raw Questionnaire Responses","Dietary",2003,2004
"FOODLK_C","Food Frequency Questionnaire - Look-Up Table FOODLOOK","Dietary",2003,2004
"VARLK_C","Food Frequency Questionnaire - Look-Up Table VARLOOK","Dietary",2003,2004
"DR1IFF_D","Dietary Interview - Individual Foods, First Day","Dietary",2005,2006
"DR1TOT_D","Dietary Interview - Total Nutrient Intakes, First Day","Dietary",2005,2006
"DR2IFF_D","Dietary Interview - Individual Foods, Second Day","Dietary",2005,2006
"DR2TOT_D","Dietary Interview - Total Nutrient Intakes, Second Day","Dietary",2005,2006
"DRXFCD_D","Dietary Interview Technical Support File - Food Codes","Dietary",2005,2006
"DRXMCD_D","Dietary Interview Technical Support File - Modification Codes","Dietary",2005,2006
"DSQ1_D","Dietary Supplement Use 30-Day - File 1, Supplement Counts","Dietary",2005,2006
"DSQ2_D","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","Dietary",2005,2006
"FFQDC_D","Food Frequency Questionnaire - Output from DietCalc Software","Dietary",2005,2006
"FFQRAW_D","Food Frequency Questionnaire - Raw Questionnaire Responses","Dietary",2005,2006
"FOODLK_D","Food Frequency Questionnaire - Look-Up Table FOODLOOK","Dietary",2005,2006
"VARLK_D","Food Frequency Questionnaire - Look-Up Table VARLOOK","Dietary",2005,2006
"DR1IFF_E","Dietary Interview - Individual Foods, First Day","Dietary",2007,2008
"DR1TOT_E","Dietary Interview - Total Nutrient Intakes, First Day","Dietary",2007,2008
"DR2IFF_E","Dietary Interview - Individual Foods, Second Day","Dietary",2007,2008
"DR2TOT_E","Dietary Interview - Total Nutrient Intakes, Second Day","Dietary",2007,2008
"DRXFCD_E","Dietary Interview Technical Support File - Food Codes","Dietary",2007,2008
"DRXMCD_E","Dietary Interview Technical Support File - Modification Codes","Dietary",2007,2008
"DS1IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day","Dietary",2007,2008
"DS1TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day","Dietary",2007,2008
"DS2IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day","Dietary",2007,2008
"DS2TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day","Dietary",2007,2008
