,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,BPAOARM,,,,,,,,,,
2,BPAOCSZ,,,,,,,,,,
3,BPAOMNTS,,,,,,,,,,
4,BPXOSY1,,,,,,,,,,
5,BPXODI1,,,,,,,,,,
6,BPXOSY2,,,,,,,,,,
7,BPXODI2,,,,,,,,,,
8,BPXOSY3,,,,,,,,,,
9,BPXODI3,,,,,,,,,,
10,BPXOPLS1,,,,,,,,,,
11,BPXOPLS2,,,,,,,,,,
12,BPXOPLS3,,,,,,,,,,
13,PEASCST1,,,,,,,,,,
14,PEASCTM1,,,,,,,,,,
15,PEASCCT1,,,,,,,,,,
16,BPXCHR,,,,,,,,,,
17,BPQ150A,,,,,,,,,,
18,BPQ150B,,,,,,,,,,
19,BPQ150C,,,,,,,,,,
20,BPQ150D,,,,,,,,,,
21,BPAARM,,,,,,,,,,
22,BPACSZ,,,,,,,,,,
23,BPXPLS,,,,,,,,,,
24,BPXDB,,,,,,,,,,
25,BPXPULS,,,,,,,,,,
26,BPXPTY,,,,,,,,,,
27,BPXML1,,,,,,,,,,
28,BPXSY1,,,,,,,,,,
29,BPXDI1,,,,,,,,,,
30,BPAEN1,,,,,,,,,,
31,BPXSY2,,,,,,,,,,
32,BPXDI2,,,,,,,,,,
33,BPAEN2,,,,,,,,,,
34,BPXSY3,,,,,,,,,,
35,BPXDI3,,,,,,,,,,
36,BPAEN3,,,,,,,,,,
37,BPXSY4,,,,,,,,,,
38,BPXDI4,,,,,,,,,,
39,BPAEN4,,,,,,,,,,
40,BPXSAR,,,,,,,,,,
41,BPXDAR,,,,,,,,,,
