,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,CSXEXSTS,,,,,,,,,,
2,CSXEXCMT,,,,,,,,,,
3,CSQ245,,,,,,,,,,
4,CSQ241,,,,,,,,,,
5,CSQ260a,,,,,,,,,,
6,CSQ260d,,,,,,,,,,
7,CSQ260g,,,,,,,,,,
8,CSQ260i,,,,,,,,,,
9,CSQ260n,,,,,,,,,,
10,CSQ260m,,,,,,,,,,
11,CSQ270,,,,,,,,,,
12,CSQ450,,,,,,,,,,
13,CSQ460,,,,,,,,,,
14,CSQ470,,,,,,,,,,
15,CSQ480,,,,,,,,,,
16,CSQ490,,,,,,,,,,
17,CSXQUIPG,,,,,,,,,,
18,CSXQUIPT,,,,,,,,,,
19,CSXNAPG,,,,,,,,,,
20,CSXNAPT,,,,,,,,,,
21,CSXQUISG,,,,,,,,,,
22,CSXQUIST,,,,,,,,,,
23,CSXSLTSG,,,,,,,,,,
24,CSXSLTST,,,,,,,,,,
25,CSXNASG,,,,,,,,,,
26,CSXNAST,,,,,,,,,,
27,CSXTSEQ,,,,,,,,,,
28,CSXCHOOD,,,,,,,,,,
29,CSXSBOD,,,,,,,,,,
30,CSXSMKOD,,,,,,,,,,
31,CSXLEAOD,,,,,,,,,,
32,CSXSOAOD,,,,,,,,,,
33,CSXGRAOD,,,,,,,,,,
34,CSXONOD,,,,,,,,,,
35,CSXNGSOD,,,,,,,,,,
36,CSXSLTRT,,,,,,,,,,
37,CSXSLTRG,,,,,,,,,,
38,CSXNART,,,,,,,,,,
39,CSXNARG,,,,,,,,,,
40,CSAEFFRT,,,,,,,,,,
