,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,OPASCST1,,,,,,,,,,
2,OPASCCT1,,,,,,,,,,
3,VIQ110,,,,,,,,,,
4,VIQ130,,,,,,,,,,
5,VIQ141,,,,,,,,,,
6,OPDODFDT,,,,,,,,,,
7,OPDOSFDT,,,,,,,,,,
8,OPX1ODBS,,,,,,,,,,
9,OPX1ODFP,,,,,,,,,,
10,OPX1ODTN,,,,,,,,,,
11,OPX1OD02,,,,,,,,,,
12,OPX1OD03,,,,,,,,,,
13,OPX1OD04,,,,,,,,,,
14,OPX1OD05,,,,,,,,,,
15,OPX1OD06,,,,,,,,,,
16,OPX1OD07,,,,,,,,,,
17,OPX1OD08,,,,,,,,,,
18,OPX1OD09,,,,,,,,,,
19,OPX1OD10,,,,,,,,,,
20,OPX1OD11,,,,,,,,,,
21,OPX1OD12,,,,,,,,,,
22,OPX1OD13,,,,,,,,,,
23,OPX1OD14,,,,,,,,,,
24,OPX1OD15,,,,,,,,,,
25,OPX1OD16,,,,,,,,,,
26,OPX1OD17,,,,,,,,,,
27,OPX1OD18,,,,,,,,,,
28,OPX1OD19,,,,,,,,,,
29,OPX1OD20,,,,,,,,,,
30,OPX1OSBS,,,,,,,,,,
31,OPX1OSFP,,,,,,,,,,
32,OPX1OSTN,,,,,,,,,,
33,OPX1OS00,,,,,,,,,,
34,OPX1OS01,,,,,,,,,,
35,OPX1OS02,,,,,,,,,,
36,OPX1OS03,,,,,,,,,,
37,OPX1OS04,,,,,,,,,,
38,OPX1OS05,,,,,,,,,,
39,OPX1OS06,,,,,,,,,,
40,OPX1OS07,,,,,,,,,,
41,OPX1OS08,,,,,,,,,,
42,OPX1OS09,,,,,,,,,,
43,OPX1OS10,,,,,,,,,,
44,OPX1OS11,,,,,,,,,,
45,OPX1OS12,,,,,,,,,,
46,OPX1OS13,,,,,,,,,,
47,OPX1OS14,,,,,,,,,,
48,OPX1OS15,,,,,,,,,,
49,OPX1OS16,,,,,,,,,,
50,OPX1OS17,,,,,,,,,,
51,OPX1OS18,,,,,,,,,,
52,OPX2ODBS,,,,,,,,,,
53,OPX2ODFP,,,,,,,,,,
54,OPX2ODTN,,,,,,,,,,
55,OPX2OD02,,,,,,,,,,
56,OPX2OD03,,,,,,,,,,
57,OPX2OD04,,,,,,,,,,
58,OPX2OD05,,,,,,,,,,
59,OPX2OD06,,,,,,,,,,
60,OPX2OD07,,,,,,,,,,
61,OPX2OD08,,,,,,,,,,
62,OPX2OD09,,,,,,,,,,
63,OPX2OD10,,,,,,,,,,
64,OPX2OD11,,,,,,,,,,
65,OPX2OD12,,,,,,,,,,
66,OPX2OD13,,,,,,,,,,
67,OPX2OD14,,,,,,,,,,
68,OPX2OD15,,,,,,,,,,
69,OPX2OD16,,,,,,,,,,
70,OPX2OD17,,,,,,,,,,
71,OPX2OD18,,,,,,,,,,
72,OPX2OD19,,,,,,,,,,
73,OPX2OD20,,,,,,,,,,
74,OPX2OSBS,,,,,,,,,,
75,OPX2OSFP,,,,,,,,,,
76,OPX2OSTN,,,,,,,,,,
77,OPX2OS00,,,,,,,,,,
78,OPX2OS01,,,,,,,,,,
79,OPX2OS02,,,,,,,,,,
80,OPX2OS03,,,,,,,,,,
81,OPX2OS04,,,,,,,,,,
82,OPX2OS05,,,,,,,,,,
83,OPX2OS06,,,,,,,,,,
84,OPX2OS07,,,,,,,,,,
85,OPX2OS08,,,,,,,,,,
86,OPX2OS09,,,,,,,,,,
87,OPX2OS10,,,,,,,,,,
88,OPX2OS11,,,,,,,,,,
89,OPX2OS12,,,,,,,,,,
90,OPX2OS13,,,,,,,,,,
91,OPX2OS14,,,,,,,,,,
92,OPX2OS15,,,,,,,,,,
93,OPX2OS16,,,,,,,,,,
94,OPX2OS17,,,,,,,,,,
95,OPX2OS18,,,,,,,,,,
96,VIQ121,,,,,,,,,,
