,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,DXATRST,,,,,,,,,,
2,DXATRTV,,,,,,,,,,
3,DXXANFM,,,,,,,,,,
4,DXXANLM,,,,,,,,,,
5,DXXANTOM,,,,,,,,,,
6,DXXGYFM,,,,,,,,,,
7,DXXGYLM,,,,,,,,,,
8,DXXGYTOM,,,,,,,,,,
9,DXXAGRAT,,,,,,,,,,
10,DXXAPFAT,,,,,,,,,,
11,DXXGPFAT,,,,,,,,,,
12,DXXAGST,,,,,,,,,,
13,DXXVATV,,,,,,,,,,
14,DXXANTV,,,,,,,,,,
15,DXXGYTV,,,,,,,,,,
16,DXXSATA,,,,,,,,,,
17,DXXSATM,,,,,,,,,,
18,DXXSATV,,,,,,,,,,
19,DXXTATA,,,,,,,,,,
20,DXXTATM,,,,,,,,,,
21,DXXTATV,,,,,,,,,,
22,DXXVFATA,,,,,,,,,,
23,DXXVFATM,,,,,,,,,,
24,DXXVFATV,,,,,,,,,,
