,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
157,AUDTYL71,,,,,,,,,,
158,AUDTYL72,,,,,,,,,,
159,AUDTYL73,,,,,,,,,,
160,AUDTYL74,,,,,,,,,,
161,AUDTYL75,,,,,,,,,,
162,AUDTYL76,,,,,,,,,,
163,AUDTYL77,,,,,,,,,,
164,AUDTYL78,,,,,,,,,,
165,AUDTYL79,,,,,,,,,,
166,AUDTYL80,,,,,,,,,,
167,AUDTYL81,,,,,,,,,,
168,AUDTYL82,,,,,,,,,,
169,AUDTYL83,,,,,,,,,,
170,AUDTYL84,,,,,,,,,,
171,TYXPEAR,,,,,,,,,,
172,TYXP001,,,,,,,,,,
173,TYXP002,,,,,,,,,,
174,TYXP003,,,,,,,,,,
175,TYXP004,,,,,,,,,,
176,TYXP005,,,,,,,,,,
177,TYXP006,,,,,,,,,,
178,TYXP007,,,,,,,,,,
179,TYXP008,,,,,,,,,,
180,TYXP009,,,,,,,,,,
181,TYXP010,,,,,,,,,,
182,TYXP011,,,,,,,,,,
183,TYXP012,,,,,,,,,,
184,TYXP013,,,,,,,,,,
185,TYXP014,,,,,,,,,,
186,TYXP015,,,,,,,,,,
187,TYXP016,,,,,,,,,,
188,TYXP017,,,,,,,,,,
189,TYXP018,,,,,,,,,,
190,TYXP019,,,,,,,,,,
191,TYXP020,,,,,,,,,,
192,TYXP021,,,,,,,,,,
193,TYXP022,,,,,,,,,,
194,TYXP023,,,,,,,,,,
195,TYXP024,,,,,,,,,,
196,TYXP025,,,,,,,,,,
197,TYXP026,,,,,,,,,,
198,TYXP027,,,,,,,,,,
199,TYXP028,,,,,,,,,,
200,TYXP029,,,,,,,,,,
201,TYXP030,,,,,,,,,,
202,TYXP031,,,,,,,,,,
203,TYXP032,,,,,,,,,,
204,TYXP033,,,,,,,,,,
205,TYXP034,,,,,,,,,,
206,TYXP035,,,,,,,,,,
207,TYXP036,,,,,,,,,,
208,TYXP037,,,,,,,,,,
209,TYXP038,,,,,,,,,,
210,TYXP039,,,,,,,,,,
211,TYXP040,,,,,,,,,,
212,TYXP041,,,,,,,,,,
213,TYXP042,,,,,,,,,,
214,TYXP043,,,,,,,,,,
215,TYXP044,,,,,,,,,,
216,TYXP045,,,,,,,,,,
217,TYXP046,,,,,,,,,,
218,TYXP047,,,,,,,,,,
219,TYXP048,,,,,,,,,,
220,TYXP049,,,,,,,,,,
221,TYXP050,,,,,,,,,,
222,TYXP051,,,,,,,,,,
223,TYXP052,,,,,,,,,,
224,TYXP053,,,,,,,,,,
225,TYXP054,,,,,,,,,,
226,TYXP055,,,,,,,,,,
227,TYXP056,,,,,,,,,,
228,TYXP057,,,,,,,,,,
229,TYXP058,,,,,,,,,,
230,TYXP059,,,,,,,,,,
231,TYXP060,,,,,,,,,,
232,TYXP061,,,,,,,,,,
233,TYXP062,,,,,,,,,,
234,TYXP063,,,,,,,,,,
235,TYXP064,,,,,,,,,,
236,TYXP065,,,,,,,,,,
237,TYXP066,,,,,,,,,,
238,TYXP067,,,,,,,,,,
239,TYXP068,,,,,,,,,,
240,TYXP069,,,,,,,,,,
241,TYXP070,,,,,,,,,,
242,TYXP071,,,,,,,,,,
243,TYXP072,,,,,,,,,,
244,TYXP073,,,,,,,,,,
245,TYXP074,,,,,,,,,,
246,TYXP075,,,,,,,,,,
247,TYXP076,,,,,,,,,,
248,TYXP077,,,,,,,,,,
249,TYXP078,,,,,,,,,,
250,TYXP079,,,,,,,,,,
251,TYXP080,,,,,,,,,,
252,TYXP081,,,,,,,,,,
253,TYXP082,,,,,,,,,,
254,TYXP083,,,,,,,,,,
255,TYXP084,,,,,,,,,,
256,TYXP085,,,,,,,,,,
257,TYXP086,,,,,,,,,,
258,TYXP087,,,,,,,,,,
259,TYXP088,,,,,,,,,,
260,TYXP089,,,,,,,,,,
261,TYXP090,,,,,,,,,,
262,TYXP091,,,,,,,,,,
263,TYXP092,,,,,,,,,,
264,TYXP093,,,,,,,,,,
265,TYXP094,,,,,,,,,,
266,TYXP095,,,,,,,,,,
267,TYXP096,,,,,,,,,,
268,TYXP097,,,,,,,,,,
269,TYXP098,,,,,,,,,,
270,TYXP099,,,,,,,,,,
271,TYXP100,,,,,,,,,,
272,TYXP101,,,,,,,,,,
273,TYXP102,,,,,,,,,,
274,TYXP103,,,,,,,,,,
275,TYXP104,,,,,,,,,,
276,TYXP105,,,,,,,,,,
277,TYXP106,,,,,,,,,,
278,TYXP107,,,,,,,,,,
279,TYXP108,,,,,,,,,,
280,TYXP109,,,,,,,,,,
281,TYXP110,,,,,,,,,,
282,TYXP111,,,,,,,,,,
283,TYXP112,,,,,,,,,,
284,TYXP113,,,,,,,,,,
285,TYXP114,,,,,,,,,,
286,TYXP115,,,,,,,,,,
287,TYXP116,,,,,,,,,,
288,TYXP117,,,,,,,,,,
289,TYXP118,,,,,,,,,,
290,TYXP119,,,,,,,,,,
291,TYXP120,,,,,,,,,,
292,TYXP121,,,,,,,,,,
293,TYXP122,,,,,,,,,,
294,TYXP123,,,,,,,,,,
295,TYXP124,,,,,,,,,,
296,TYXP125,,,,,,,,,,
297,TYXP126,,,,,,,,,,
298,TYXP127,,,,,,,,,,
299,TYXP128,,,,,,,,,,
300,TYXP129,,,,,,,,,,
301,TYXP130,,,,,,,,,,
302,TYXP131,,,,,,,,,,
303,TYXP132,,,,,,,,,,
304,TYXP133,,,,,,,,,,
305,TYXP134,,,,,,,,,,
306,TYXP135,,,,,,,,,,
307,TYXP136,,,,,,,,,,
308,TYXP137,,,,,,,,,,
309,TYXP138,,,,,,,,,,
310,TYXP139,,,,,,,,,,
311,TYXP140,,,,,,,,,,
312,TYXP141,,,,,,,,,,
313,TYXP142,,,,,,,,,,
314,TYXP143,,,,,,,,,,
315,TYXP144,,,,,,,,,,
316,TYXP145,,,,,,,,,,
317,TYXP146,,,,,,,,,,
318,TYXP147,,,,,,,,,,
319,TYXP148,,,,,,,,,,
320,TYXP149,,,,,,,,,,
321,TYXP150,,,,,,,,,,
322,TYXP151,,,,,,,,,,
323,TYXP152,,,,,,,,,,
324,TYXP153,,,,,,,,,,
325,TYXP154,,,,,,,,,,
326,TYXP155,,,,,,,,,,
327,TYXP156,,,,,,,,,,
328,TYXP157,,,,,,,,,,
329,TYXP158,,,,,,,,,,
330,TYXP159,,,,,,,,,,
331,TYXP160,,,,,,,,,,
332,TYXP161,,,,,,,,,,
333,TYXP162,,,,,,,,,,
334,TYXP163,,,,,,,,,,
335,TYXP164,,,,,,,,,,
336,TYXP165,,,,,,,,,,
337,TYXP166,,,,,,,,,,
338,TYXP167,,,,,,,,,,
339,TYXP168,,,,,,,,,,
340,TYXP169,,,,,,,,,,
341,TYXP170,,,,,,,,,,
342,TYXP171,,,,,,,,,,
343,TYXP172,,,,,,,,,,
344,TYXP173,,,,,,,,,,
345,TYXP174,,,,,,,,,,
346,TYXP175,,,,,,,,,,
347,TYXP176,,,,,,,,,,
348,TYXP177,,,,,,,,,,
349,TYXP178,,,,,,,,,,
350,TYXP179,,,,,,,,,,
351,TYXP180,,,,,,,,,,
352,TYXP181,,,,,,,,,,
353,TYXP182,,,,,,,,,,
354,TYXP183,,,,,,,,,,
355,TYXP184,,,,,,,,,,
356,TYXP185,,,,,,,,,,
357,TYXP186,,,,,,,,,,
358,TYXP187,,,,,,,,,,
359,TYXP188,,,,,,,,,,
360,TYXP189,,,,,,,,,,
361,TYXP190,,,,,,,,,,
362,TYXP191,,,,,,,,,,
363,TYXP192,,,,,,,,,,
364,TYXP193,,,,,,,,,,
365,TYXP194,,,,,,,,,,
366,TYXP195,,,,,,,,,,
367,TYXP196,,,,,,,,,,
368,TYXP197,,,,,,,,,,
369,TYXP198,,,,,,,,,,
370,TYXP199,,,,,,,,,,
371,TYXP200,,,,,,,,,,
372,TYXP201,,,,,,,,,,
373,TYXP202,,,,,,,,,,
374,TYXP203,,,,,,,,,,
375,TYXP204,,,,,,,,,,
376,TYXP205,,,,,,,,,,
377,TYXP206,,,,,,,,,,
378,TYXP207,,,,,,,,,,
379,TYXP208,,,,,,,,,,
380,TYXP209,,,,,,,,,,
381,TYXP210,,,,,,,,,,
382,TYXP211,,,,,,,,,,
383,TYXP212,,,,,,,,,,
384,TYXP213,,,,,,,,,,
385,TYXP214,,,,,,,,,,
386,TYXP215,,,,,,,,,,
387,TYXP216,,,,,,,,,,
388,TYXP217,,,,,,,,,,
389,TYXP218,,,,,,,,,,
390,TYXP219,,,,,,,,,,
391,TYXP220,,,,,,,,,,
392,TYXP221,,,,,,,,,,
393,TYXP222,,,,,,,,,,
394,TYXP223,,,,,,,,,,
395,TYXP224,,,,,,,,,,
396,TYXP225,,,,,,,,,,
397,TYXP226,,,,,,,,,,
398,TYXP227,,,,,,,,,,
399,TYXP228,,,,,,,,,,
400,TYXP229,,,,,,,,,,
401,TYXP230,,,,,,,,,,
402,TYXP231,,,,,,,,,,
