,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,ENXSTAT,,,,,,,,,,
2,ENXCMT,,,,,,,,,,
3,ENQ010,,,,,,,,,,
4,ENQ020,,,,,,,,,,
5,ENQ040,,,,,,,,,,
6,ENQ050,,,,,,,,,,
7,ENQ060,,,,,,,,,,
8,ENQ070,,,,,,,,,,
9,ENQ080,,,,,,,,,,
10,ENQ090,,,,,,,,,,
11,ENQ100,,,,,,,,,,
12,ENAATMPT,,,,,,,,,,
13,ENXTR1G,,,,,,,,,,
14,ENXTR1Q,,,,,,,,,,
15,ENXTR2G,,,,,,,,,,
16,ENXTR2Q,,,,,,,,,,
17,ENXTR3G,,,,,,,,,,
18,ENXTR3Q,,,,,,,,,,
19,ENXTR4G,,,,,,,,,,
20,ENXTR4Q,,,,,,,,,,
21,ENXMEAN,,,,,,,,,,
