,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,OHAEXSTS,,,,,,,,,,
2,OHASCST4,,,,,,,,,,
3,OHD02CJM,,,,,,,,,,
4,OHD02PCM,,,,,,,,,,
5,OHD02LAM,,,,,,,,,,
6,OHD02CJS,,,,,,,,,,
7,OHD02PCS,,,,,,,,,,
8,OHD02LAS,,,,,,,,,,
9,OHD02CJD,,,,,,,,,,
10,OHD02PCD,,,,,,,,,,
11,OHD02LAD,,,,,,,,,,
12,OHD03CJM,,,,,,,,,,
13,OHD03PCM,,,,,,,,,,
14,OHD03LAM,,,,,,,,,,
15,OHD03CJS,,,,,,,,,,
16,OHD03PCS,,,,,,,,,,
17,OHD03LAS,,,,,,,,,,
18,OHD03CJD,,,,,,,,,,
19,OHD03PCD,,,,,,,,,,
20,OHD03LAD,,,,,,,,,,
21,OHD04CJM,,,,,,,,,,
22,OHD04PCM,,,,,,,,,,
23,OHD04LAM,,,,,,,,,,
24,OHD04CJS,,,,,,,,,,
25,OHD04PCS,,,,,,,,,,
26,OHD04LAS,,,,,,,,,,
27,OHD04CJD,,,,,,,,,,
28,OHD04PCD,,,,,,,,,,
29,OHD04LAD,,,,,,,,,,
30,OHD05CJM,,,,,,,,,,
31,OHD05PCM,,,,,,,,,,
32,OHD05LAM,,,,,,,,,,
33,OHD05CJS,,,,,,,,,,
34,OHD05PCS,,,,,,,,,,
35,OHD05LAS,,,,,,,,,,
36,OHD05CJD,,,,,,,,,,
37,OHD05PCD,,,,,,,,,,
38,OHD05LAD,,,,,,,,,,
39,OHD06CJM,,,,,,,,,,
40,OHD06PCM,,,,,,,,,,
41,OHD06LAM,,,,,,,,,,
42,OHD06CJS,,,,,,,,,,
43,OHD06PCS,,,,,,,,,,
44,OHD06LAS,,,,,,,,,,
45,OHD06CJD,,,,,,,,,,
46,OHD06PCD,,,,,,,,,,
47,OHD06LAD,,,,,,,,,,
48,OHD07CJM,,,,,,,,,,
49,OHD07PCM,,,,,,,,,,
50,OHD07LAM,,,,,,,,,,
51,OHD07CJS,,,,,,,,,,
