,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,OHAEXSTS,,,,,,,,,,
2,OHASCST5,,,,,,,,,,
3,OHQ131,,,,,,,,,,
4,OHQ132,,,,,,,,,,
5,OHQ134,,,,,,,,,,
6,OHQ136,,,,,,,,,,
7,OHQ138,,,,,,,,,,
8,OHQ140,,,,,,,,,,
9,OHQ142,,,,,,,,,,
10,OHQ144,,,,,,,,,,
11,OHQ146,,,,,,,,,,
12,OHQ148,,,,,,,,,,
13,OHQ160,,,,,,,,,,
14,OHQ170,,,,,,,,,,
15,OHAREC,,,,,,,,,,
16,OHAROCDT,,,,,,,,,,
17,OHAROCGP,,,,,,,,,,
18,OHAROCOH,,,,,,,,,,
19,OHAROCCI,,,,,,,,,,
20,OHAROTH,,,,,,,,,,
21,OHARNF,,,,,,,,,,
22,OHQ011,,,,,,,,,,
23,OHQ490a,,,,,,,,,,
24,OHQ490b,,,,,,,,,,
25,OHQ490c,,,,,,,,,,
26,OHQ490d,,,,,,,,,,
27,OHQ490e,,,,,,,,,,
28,OHQ490f,,,,,,,,,,
29,OHQ490g,,,,,,,,,,
30,OHQ490h,,,,,,,,,,
31,OHQ490i,,,,,,,,,,
32,OHQ490j,,,,,,,,,,
33,OHQ490k,,,,,,,,,,
34,OHQ490l,,,,,,,,,,
35,OHQ490m,,,,,,,,,,
36,OHQ490n,,,,,,,,,,
37,OHQ410,,,,,,,,,,
38,OHQ420,,,,,,,,,,
39,OHQ430,,,,,,,,,,
40,OHQ440,,,,,,,,,,
41,OHAROCDE,,,,,,,,,,
42,OHARCMT,,,,,,,,,,
43,OHAPOS,,,,,,,,,,
44,OHDEXSTS,,,,,,,,,,
45,OHDRCSTS,,,,,,,,,,
46,OHQ130,,,,,,,,,,
