,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,MGDEXSTS,,,,,,,,,,
2,MGD050,,,,,,,,,,
3,MGD060,,,,,,,,,,
4,MGQ070,,,,,,,,,,
5,MGQ080,,,,,,,,,,
6,MGQ090,,,,,,,,,,
7,MGQ100,,,,,,,,,,
8,MGQ110,,,,,,,,,,
9,MGQ120,,,,,,,,,,
10,MGD130,,,,,,,,,,
11,MGQ90DG,,,,,,,,,,
12,MGDSEAT,,,,,,,,,,
13,MGAPHAND,,,,,,,,,,
14,MGATHAND,,,,,,,,,,
15,MGXH1T1,,,,,,,,,,
16,MGXH1T1E,,,,,,,,,,
17,MGXH2T1,,,,,,,,,,
18,MGXH2T1E,,,,,,,,,,
19,MGXH1T2,,,,,,,,,,
20,MGXH1T2E,,,,,,,,,,
21,MGXH2T2,,,,,,,,,,
22,MGXH2T2E,,,,,,,,,,
23,MGXH1T3,,,,,,,,,,
24,MGXH1T3E,,,,,,,,,,
25,MGXH2T3,,,,,,,,,,
26,MGXH2T3E,,,,,,,,,,
27,MGDCGSZ,,,,,,,,,,
