Lab Method Name,Documentation,Release Date,PDF Link
Allergen Specific IgE(s) and Total IgE in Serum,[PDF - 370 KB],June 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/al_ige_d_met_specific_ige_total_ige.pdf
Apolipoprotein (B),[PDF - 100 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/trigly_d_met_apob.pdf
Aspergillus fumigatus in dust,[PDF - 347 KB],February 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/aldust_d_met_aspergillus.pdf
Blood Inorganic Mercury,[PDF - 213 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/thgihg_d_met_inorganic_mercury_in_blood.pdf
Blood Lead and Blood Cadmium,[PDF - 252 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/pbcd_d_met_lead_cadmium.pdf
Blood Total Mercury,[PDF - 232 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/thgihg_d_met_total_mercury_in_blood.pdf
Cockroach (Bla g1),[PDF - 330 KB],February 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/aldust_d_met_cockroach_bla-g-1.pdf
Complete Blood Count,[PDF - 394 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/cbc_d_met.pdf
C-Reactive Protein,[PDF - 161 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/crp_d_met_protein.pdf
Endotoxin,[PDF - 307 KB],February 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/aldust_d_met_endotoxin.pdf
Environmental Pesticides,[PDF - 289 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/pp_d_met_pesticides.pdf
Environmental Phenols,[PDF - 310 KB],Updated November 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/eph_d_met_phenols_parabens.pdf
Erythrocyte Protoporphyrin (EPP),[PDF - 216 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/epp_d_met_epp.pdf
Ferritin,[PDF - 197 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/fertin_d_met_roche.pdf
Glycohemoglobin,[PDF - 106 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/ghb_d_met_glycohemoglobin.pdf
HDL-Cholesterol - Hitachi 717,[PDF - 188 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hdl_d_met_cholesterol_hdl_h717.pdf
HDL-Cholesterol - Hitachi 912,[PDF - 185 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hdl_d_met_cholesterol_hdl_h912.pdf
Hepatitis A Antibody,[PDF - 193 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepa_d_met_hepatitis_a.pdf
Hepatitis B Core Antibody,[PDF - 170 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepbd_d_met_hep_b_core_antibody.pdf
Hepatitis B Surface Antigen,[PDF - 170 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepbd_d_met_hep_b_surface_antigen.pdf
Hepatitis B Surface Antigen Antibody (anti-HBs),[PDF - 148 KB],May 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepb_s_d_met_hep_b_surface_antibody.pdf
Hepatitis C,[PDF - 227 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepc_d_met_hep_c_riba.pdf
