Titulo,Descricao,Nome_Modulo,Documento,Link
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 44 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/scr-mod1_0506.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 46 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/scr-mod2_0506.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background/Occupation,[PDF - 43 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/fi_dmq_d.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Family Questionnaire Hand Cards,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/family_handcards_0506.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 43 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/fi_fsq_d.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 28 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/fi_hoq_d.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 67 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/fi_inq_d.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Smoking,[PDF - 19 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/fi_smq_d.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Acculturation,[PDF - 17 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/sp_acq_d.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Allergy,[PDF - 27 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/questionnaires/sp_agq_d.pdf
