Lab Method Name,Documentation,Release Date,PDF Link
Acrylamide and Glycidamide,[PDF - 2.58 MB],December 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/AMDGYD_ETHOX_I_MET.pdf
Alanine Amino Transferase (ALT),[PDF - 651 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_ALT_DXC800and660i.pdf
Albumin (DXC 660i),[PDF - 670 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_ALBUMIN_DXC660i.pdf
Albumin (DXC 800),[PDF - 664 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_ALBUMIN_DXC800.pdf
Alkaline Phosphatase (ALP),[PDF - 654 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_ALP_DXC800and660i.pdf
Apolipoprotein B,[PDF - 784 KB],January 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/APOB_I_MET.pdf
Aromatic Diamines,[PDF - 1.23 MB],October 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UADM_I_MET.pdf
Arsenics - Speciated - Urine,[PDF - 1.85 MB],June 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UAS_UASS_I_MET.pdf
Aspartate Aminotransferase (AST),[PDF - 670 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_AST_DXC800and660i.pdf
Bicarbonate (HCO3),[PDF - 673 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_BICARBONATE_DXC800and660i.pdf
Bilirubin,[PDF - 655 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_BILIRUBIN_DXC800and660i.pdf
Blood Urea Nitrogen (BUN) (DXC 660i),[PDF - 667 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_BUN_DXC660i.pdf
Blood Urea Nitrogen (BUN) (DXC 800),[PDF - 666 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_BUN_DXC800.pdf
"Cadmium, Lead, Manganese, Mercury, and Selenium",[PDF - 1.48 MB],January 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PBCD_I_met.pdf
Chlamydia Trachomatis,[PDF - 900 KB],December 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/CHLMDA_I_MET.pdf
Chloride,[PDF - 657 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_CHLORIDE_DXC800and660i.pdf
Cholesterol,[PDF - 672 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_CHOLESTEROL_DXC800and660i.pdf
