Titulo,Descricao,Nome_Modulo,Documento,Link
Interviewer Manuals,,Interviewer Procedure Manual,[PDF - 33 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/../manuals/2016_Interviewer_Procedures_Manual.pdf
Interviewer Manuals,,MEC Interviewers Procedures Manual,[PDF - 22 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/../manuals/2016_MEC_Interviewers_Procedures.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 157 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/screener_module_1_I.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 58 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/screener_module_2_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Consumer Behavior,[PDF - 19 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/CBQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/DMQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Family Questionnaire Hand Cards,[PDF - 46 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/2015-2016_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 128 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/FSQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 10 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/HOQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 142 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/questionnaires/INQ_Family_I.pdf
