Title,Description,Module_Name,Document,Link
Interview,,Interviewer Procedure Manual,[PDF - 33.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_Interviewer_Procedures_Manual.pdf
Interview,,MEC Interviewers Procedures Manual,[PDF - 22.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_MEC_Interviewers_Procedures.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 5.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_MEC_Laboratory_Procedures_Manual.pdf
Examination,,Anthropometry (Body Measures),[PDF - 6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_Anthropometry_Procedures_Manual.pdf
Examination,,Audiometry,[PDF - 8.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_Audiometry_Procedures_Manual.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 10.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_MEC_In-Person_Dietary_Interviewers_Procedures_Manual.pdf
Examination,,Dietary Interviewer - Phone Follow-Up,[PDF - 8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_Phone_Follow-Up_Dietary_Interviewer_Procedures_Manual.pdf
Examination,,Dual-Energy X-ray Absorptiometry (DEXA) Scan,[PDF - 4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_Body_Composition_Procedures_Manual.pdf
Examination,,Human Papillomavirus,[PDF - 725 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_HPV_Rinse_Procedures_Manual.pdf
Examination,,Oral Glucose Tolerance,[PDF - 967 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_NHANES_OGTT_Manual.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 5.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2016_Oral_Health_Examiners_Procedures_Manual.pdf
Examination,,Oral Health (Dental Recorder),[PDF - 1.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2015_Oral_Health_Recorders_Procedures_Manual.pdf
Examination,,Physician Examination,[PDF - 8.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/manuals/2015_Physician_Examination_Procedures_Manual.pdf
