Titulo,Descricao,Nome_Modulo,Documento,Link
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 38 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/scr-mod1.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 31 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/scr-mod2.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background/Occupation,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-dm.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 29 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-fs.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Health Insurance,[PDF - 25 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-hi.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-ho.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 37 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-in.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Pesticide Use,[PDF - 7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-pu.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Smoking,[PDF - 5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/fq-sm.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Acculturation,[PDF - 7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-ac.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Audiometry,[PDF - 8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-au.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Balance,[PDF - 8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-ba.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Blood Pressure,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-bp.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Cardiovascular Disease,[PDF - 5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-cd.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Demographics Information,[PDF - 23 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-dmsp.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Dermatology,[PDF - 9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/questionnaires/spq-de.pdf
