Lab Method Name,Documentation,Release Date,PDF Link
Lab 16 Urine Albumin,[PDF - 211 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab16_met_urine_albumin.pdf
Lab 17 Cryptosporidium Parvum Surface Antigens,[PDF - 121 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab17_met_crypto.pdf
Lab 17 Toxoplasma confirmation tests,[PDF - 20 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab17_met_toxoplasma.pdf
Lab 17 Toxoplasma IgG antibodies,[PDF - 83 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab17_met_toxoplasma_igg.pdf
Lab 17 Toxoplasma IgM antibodies,[PDF - 152 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab17_met_toxoplasma_igm.pdf
Lab 18 Biochemistry Profile,[PDF - 315 KB],Updated January 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab18_met_biochemistry_profile.pdf
Lab 18 Follicle Stimulating Hormone,[PDF - 182 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab18_met_follicle_stimulating_hormone-.pdf
Lab 18 Luteinzing Hormone,[PDF - 183 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab18_met_leuteinizing_hormone.pdf
Lab 18 T4 - Thyroxin,[PDF - 159 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab18_met_t4.pdf
Lab 18 TSH - Thyroid Stimulating Hormone,[PDF - 123 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab18_met_tsh.pdf
"Lab 19 Measles, Rubella, and Varicella",[PDF - 233 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab19_met_measles_rubella_varicella.pdf
Lab 20 Lead Dust,[PDF - 203 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab20_met_lead_dust.pdf
Lab 21 Selected Group of Volatile Organic Compounds (Clayton),[PDF - 148 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab21_met_voc_clayton.pdf
Lab 21 Selected Group of Volatile Organic Compounds (EOHSI),[PDF - 156 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab21_met_eohsi.pdf
Lab 22 Hair Mercury,[PDF - 231 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab22_met_hair_mercury.pdf
Lab 25 Plasma Glucose,[PDF - 508 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab25_met_complete_blood_count.pdf
Lab 26 Dialkylphosphate Metabolites of Organophosphorus Pesticides,[PDF - 221 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab26pp_met_organophosphates.pdf
Lab 26 Phenolic Metabolites of Pesticides,[PDF - 136 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab26pp_met_phenols.pdf
Lab 26 Phytoestrogens,[PDF - 567 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab26_met_phytoestrogens.pdf
Lab 28 Dioxins,[PDF - 1.11 MB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab28poc_met_dioxin_pcb.pdf
Lab 28 PCBs and Persistent Pesticides,[PDF - 1.03 MB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab28poc_met_pcb_pesticides.pdf
Phthalate Monoesters,[PDF - 400 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/phpypa_met_phthalates.pdf
Trans Fatty Acids,[PDF - 1.3 MB],May 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/TFA_A_trans_fatty_acids_met.pdf
