Titulo,Descricao,Nome_Modulo,Documento,Link
Interview,,MEC Interviewers Procedures Manual (Chapter 5),[PDF - 1.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/c5_int.pdf
Interview,,MEC Interviewers Procedures Manual (Chapter 6 Sections 1-2),[PDF - 2.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/C6-3a_INT.pdf
Interview,,MEC Interviewers Procedures Manual (Chapter 6 Sections 3),[PDF - 3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/C6-3b_INT.pdf
Interview,,MEC Interviewers Procedures Manual (Chapter 6 Sections 4-5),[PDF - 4.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/C6-4-5_INT.pdf
Interview,,MEC Interviewers Procedures Manual (Chapters 1-4),[PDF - 1.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/c1-4_int.pdf
Interview,,MEC Interviewers Procedures Manual (Chapters 7-8 Appendix A),[PDF - 3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/c7-8_int.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 6.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/1999-2000_MEC_Laboratory_Manual.pdf
Examination,,Audiometry,[PDF - 6.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/au.pdf
Examination,,Balance,[PDF - 351 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/ba.pdf
Examination,,Body Composition,[PDF - 2.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/bc.pdf
Examination,,Body Measurements,[PDF - 1.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/bm.pdf
Examination,,Cardiovascular Fitness,[PDF - 6.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/cv_99-04.pdf
Examination,,Composite International Diagnostic Interview,[PDF - 162 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/cidi_manual.pdf
Examination,,Dietary Interviewer (Chapters 1-5),[PDF - 1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/dr-1-5.pdf
Examination,,Dietary Interviewer (Chapters 6),[PDF - 3.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/dr-6.pdf
Examination,,Dietary Interviewer (Chapters 7-9),[PDF - 1.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/dr-7-9.pdf
Examination,,Dietary Interviewer (Chapters Appendices)Measuring Guides for the Dietary Recall Interview,[PDF - 41 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/DR_Append.pdf
Examination,,Lower Extremity Disease,[PDF - 2.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/le.pdf
Examination,,Muscle Strength,[PDF - 1.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/ms.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 1.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/oh-e.pdf
Examination,,Oral Health (Dental Recorder),[PDF - 589 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/oh-r.pdf
Examination,,Physician,[PDF - 6.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/pe.pdf
Examination,,Specimen Collection,[PDF - 422 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/sc.pdf
Examination,,Tuberculosis,[PDF - 4.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/2001TBmanual.pdf
Examination,,Vision,[PDF - 902 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/manuals/vi.pdf
