"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"CDQ_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"CDQ_C","CDQ001","CDQ001","SP ever had pain or discomfort in chest","{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1031"", ""2264"", ""0"", ""4"", ""0""]; Cumulative=[""1031"", ""3295"", ""3295"", ""3299"", ""3299""]; Skip.to.Item=["""", ""CDQ010"", ""CDQ010"", ""CDQ010"", """"]"
"CDQ_C","CDQ002","CDQ002","SP get it walking uphill or in a hurry","{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""NEVER WALKS UPHILL OR HURRIES"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""283"", ""647"", ""96"", ""0"", ""5"", ""2268""]; Cumulative=[""283"", ""930"", ""1026"", ""1026"", ""1031"", ""3299""]; Skip.to.Item=["""", ""CDQ008"", """", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_C","CDQ003","CDQ003","During an ordinary pace on level ground","{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""116"", ""263"", ""0"", ""0"", ""2920""]; Cumulative=[""116"", ""379"", ""379"", ""379"", ""3299""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CDQ_C","CDQ003A","CDQ003A",NA,NA,"Both males and females 40 YEARS - 150 YEARS",NA,NA
"CDQ_C","CDQ004","CDQ004","If so does SP continue or slow down","What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking? {Do you/Does she/Does he} stop or slow down or continue at the same pace?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""STOP OR SLOW DOWN"", ""CONTINUE AT THE SAME PACE"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""280"", ""22"", ""0"", ""3"", ""2994""]; Cumulative=[""280"", ""302"", ""302"", ""305"", ""3299""]; Skip.to.Item=["""", ""CDQ008"", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_C","CDQ005","CDQ005","Does standing relieve pain/discomfort","If {you/she/he} stand still what happens to it? Is the pain or discomfort relieved or not relieved?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""RELIEVED"", ""NOT RELIEVED"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""235"", ""38"", ""0"", ""7"", ""3019""]; Cumulative=[""235"", ""273"", ""273"", ""280"", ""3299""]; Skip.to.Item=["""", ""CDQ008"", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_C","CDQ006","CDQ006","How soon is the pain relieved","How soon is the pain relieved? Would you say...","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""10 minutes or less"", ""More than 10 minutes"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""191"", ""43"", ""0"", ""1"", ""3064""]; Cumulative=[""191"", ""234"", ""234"", ""235"", ""3299""]; Skip.to.Item=["""", ""CDQ008"", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_C","CDQ009A","CDQ009A","Pain in right arm","Please look at this card and show me where the pain or discomfort is located.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""Pain in right arm"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""15"", ""0"", ""5"", ""3279""]; Cumulative=[""15"", ""15"", ""20"", ""3299""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CDQ_C","CDQ009B","CDQ009B","Pain in right chest","Please look at this card and show me where the pain or discomfort is located.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Pain in right chest"", ""Missing""]; Count=[""33"", ""3266""]; Cumulative=[""33"", ""3299""]; Skip.to.Item=[""NA"", ""NA""]"
