"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"RXQASA_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"RXQASA_L","RXQ510","RXQ510","Dr told to take daily low-dose aspirin?","Doctors and other health care providers sometimes recommend that {you take/SP takes) a low-dose aspirin each day to prevent heart attacks strokes or cancer. {Have you/Has SP} ever been told to do this?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2049"", ""3654"", ""0"", ""9"", ""13""]; Cumulative=[""2049"", ""5703"", ""5703"", ""5712"", ""5725""]; Skip.to.Item=["""", ""RXQ520"", ""RXQ520"", ""RXQ520"", """"]"
"RXQASA_L","RXQ515","RXQ515","Followed advice took low-dose aspirin?","{Are you/Is SP} now following this advice?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Sometimes"", ""Stopped aspirin use due to side effects"", ""7"", ""Don't know"", ""Missing""]; Count=[""1300"", ""641"", ""51"", ""55"", ""1"", ""1"", ""3676""]; Cumulative=[""1300"", ""1941"", ""1992"", ""2047"", ""2048"", ""2049"", ""5725""]; Skip.to.Item=[""End of Section"", ""End of Section"", ""End of Section"", ""End of Section"", """", """", """"]"
"RXQASA_L","RXQ520","RXQ520","Taking low-dose aspirin on your own?","On {your/SPs} own {are you/is SP} now taking a low-dose aspirin each day to prevent heart attacks strokes or cancer?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""203"", ""3459"", ""0"", ""1"", ""2062""]; Cumulative=[""203"", ""3662"", ""3662"", ""3663"", ""5725""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
