"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"HOQ_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HOQ_I","HOD050","HOD050","Number of rooms in home","How many rooms are in this home? Count the kitchen but not  the bathroom.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""777"", ""999"", "".""]; Value.Description=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""49"", ""204"", ""831"", ""1810"", ""2071"", ""1728"", ""1130"", ""773"", ""434"", ""323"", ""133"", ""71"", ""51"", ""34"", ""0"", ""329""]; Cumulative=[""49"", ""253"", ""1084"", ""2894"", ""4965"", ""6693"", ""7823"", ""8596"", ""9030"", ""9353"", ""9486"", ""9557"", ""9608"", ""9642"", ""9642"", ""9971""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_I","HOQ065","HOQ065","Home owned bought rented other","Is this {mobile home/house/apartment} owned being bought  rented or occupied by some other arrangement by {you/you or someone else in  your family}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Owned or being bought"", ""Rented"", ""Other arrangement"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5333"", ""4121"", ""162"", ""10"", ""16"", ""329""]; Cumulative=[""5333"", ""9454"", ""9616"", ""9626"", ""9642"", ""9971""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
