"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"HOQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HOQ","HOD010","HOD010","Type of home","Id like to ask you a few questions about your home. Is your home . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""9"", "".""]; Value.Description=[""A mobile home or trailer,"", ""A one family house detached from any other house,"", ""A one family house attached to one or more houses,"", ""An apartment,"", ""Something else,"", ""Dormitory?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""786"", ""5794"", ""757"", ""2363"", ""62"", ""26"", ""1"", ""15"", ""161""]; Cumulative=[""786"", ""6580"", ""7337"", ""9700"", ""9762"", ""9788"", ""9789"", ""9804"", ""9965""]; Skip.to.Item=[""HOD040"", ""HOD040"", ""HOD040"", """", ""HOD040"", ""HOD040"", ""HOD040"", ""HOD040"", """"]"
"HOQ","HOD030","HOD030","How many apartments in building","How many apartments are in this building? Would you say . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""1 to 2,"", ""3 or 4,"", ""5 to 9,"", ""10 to 19,"", ""20 to 49, or"", ""50 or more?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""305"", ""239"", ""473"", ""305"", ""420"", ""534"", ""0"", ""83"", ""7606""]; Cumulative=[""305"", ""544"", ""1017"", ""1322"", ""1742"", ""2276"", ""2276"", ""2359"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOD040","HOD040","When was home built","When was this {mobile home/house/building} originally built?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""1990 to present"", ""1978 to 1989,"", ""1960 to 1977,"", ""1950 to 1959,"", ""1940 to 1949, or"", ""Before 1940?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1101"", ""1656"", ""1621"", ""1070"", ""596"", ""1088"", ""14"", ""2658"", ""161""]; Cumulative=[""1101"", ""2757"", ""4378"", ""5448"", ""6044"", ""7132"", ""7146"", ""9804"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOD050","HOD050","Number of rooms in home","How many rooms are in this home? Count the kitchen but not the bathroom.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 12"", ""13"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""13 or More"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""9709"", ""70"", ""12"", ""13"", ""161""]; Cumulative=[""9709"", ""9779"", ""9791"", ""9804"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOD060","HOD060","How many years family lived in home","How many years {have you/has your family} lived at this address?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""77"", ""99"", "".""]; Value.Description=[""Less than one year"", ""1-2 years"", ""3-5 years"", ""6-10 years"", ""More than 10 years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1554"", ""1905"", ""2097"", ""1571"", ""2640"", ""10"", ""27"", ""161""]; Cumulative=[""1554"", ""3459"", ""5556"", ""7127"", ""9767"", ""9777"", ""9804"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOQ065","HOQ065","Home owned bought rented other","Is this {mobile home/house/apartment} owned being bought rented or occupied by some other arrangement by {you/you or someone else in your family}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Owned or being bought"", ""Rented"", ""Other arrangement"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5618"", ""3973"", ""199"", ""8"", ""6"", ""161""]; Cumulative=[""5618"", ""9591"", ""9790"", ""9798"", ""9804"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOQ070","HOQ070","Source of tap water","What is the source of tap water in this home? Is it a private or public water company a private or public well or something else?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Private/public water company"", ""Private/public well"", ""Something else"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""8758"", ""920"", ""49"", ""1"", ""76"", ""161""]; Cumulative=[""8758"", ""9678"", ""9727"", ""9728"", ""9804"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOQ080","HOQ080","Water treatment devices used or not","Are any of the water treatment devices listed on this card used in your home?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1901"", ""7854"", ""2"", ""47"", ""161""]; Cumulative=[""1901"", ""9755"", ""9757"", ""9804"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOD140","HOD140","Home painted in last 12 months","During the last 12 months were any areas inside your home painted such as walls trim or ceilings?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""423"", ""624"", ""0"", ""18"", ""8900""]; Cumulative=[""423"", ""1047"", ""1047"", ""1065"", ""9965""]; Skip.to.Item=["""", ""HOD160"", ""HOD160"", ""HOD160"", """"]"
"HOQ","HOD150","HOD150","Old paint scraped when home painted?","When this painting was done did someone sand or scrape off any of the old paint?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""90"", ""286"", ""0"", ""47"", ""9542""]; Cumulative=[""90"", ""376"", ""376"", ""423"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ","HOD160","HOD160","Paint peeling flaking chipping inside","Are there any rooms in your home where you can see paint that is peeling flaking or chipping off the walls ceilings doors or windows?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""215"", ""845"", ""0"", ""5"", ""8900""]; Cumulative=[""215"", ""1060"", ""1060"", ""1065"", ""9965""]; Skip.to.Item=["""", ""HOD190"", ""HOD190"", ""HOD190"", """"]"
