"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"PAQIAF","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"PAQIAF","PADACTIV","PADACTIV","Leisure time activity","[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""71"", "".""]; Value.Description=[""AEROBICS"", ""BASEBALL"", ""BASKETBALL"", ""BICYCLING"", ""BOWLING"", ""DANCE"", ""FISHING"", ""FOOTBALL"", ""GARDENING"", ""GOLF"", ""HIKING"", ""HOCKEY"", ""HUNTING"", ""JOGGING"", ""KAYAKING"", ""PUSH-UPS"", ""RACQUETBALL"", ""ROLLERBLADING"", ""ROWING"", ""RUNNING"", ""SIT-UPS"", ""SKATING"", ""SKIING - CROSS COUNTRY"", ""SKIING - DOWNHILL"", ""SOCCER"", ""SOFTBALL"", ""STAIR CLIMBING"", ""STRETCHING"", ""SWIMMING"", ""TENNIS"", ""TREADMILL"", ""VOLLEYBALL"", ""WALKING"", ""WEIGHT LIFTING"", ""YARD WORK"", ""BOXING"", ""FRISBEE"", ""HORSEBACK RIDING"", ""MARTIAL ARTS"", ""WRESTLING"", ""YOGA"", ""CHEERLEADING AND GYMNASTICS"", ""CHILDREN'S GAMES (E.G. DODGEBALL, KICKBALL)"", ""ROPE JUMPING"", ""SKATEBOARDING"", ""SURFING"", ""TRAMPOLINE JUMPING"", ""OTHER"", ""Missing""]; Count=[""333"", ""120"", ""718"", ""684"", ""46"", ""659"", ""36"", ""283"", ""185"", ""218"", ""169"", ""30"", ""14"", ""220"", ""10"", ""133"", ""30"", ""73"", ""11"", ""935"", ""178"", ""49"", ""15"", ""9"", ""264"", ""98"", ""122"", ""182"", ""265"", ""89"", ""183"", ""106"", ""1687"", ""421"", ""497"", ""11"", ""12"", ""13"", ""22"", ""24"", ""7"", ""20"", ""12"", ""21"", ""6"", ""5"", ""13"", ""28"", ""0""]; Cumulative=[""333"", ""453"", ""1171"", ""1855"", ""1901"", ""2560"", ""2596"", ""2879"", ""3064"", ""3282"", ""3451"", ""3481"", ""3495"", ""3715"", ""3725"", ""3858"", ""3888"", ""3961"", ""3972"", ""4907"", ""5085"", ""5134"", ""5149"", ""5158"", ""5422"", ""5520"", ""5642"", ""5824"", ""6089"", ""6178"", ""6361"", ""6467"", ""8154"", ""8575"", ""9072"", ""9083"", ""9095"", ""9108"", ""9130"", ""9154"", ""9161"", ""9181"", ""9193"", ""9214"", ""9220"", ""9225"", ""9238"", ""9266"", ""9266""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQIAF","PADLEVEL","PADLEVEL","Activity level","Reported intensity level of activity","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""MODERATE"", ""VIGOROUS"", ""Missing""]; Count=[""4086"", ""5180"", ""0""]; Cumulative=[""4086"", ""9266"", ""9266""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PAQIAF","PADTIMES","PADTIMES","# of times did activity in past 30 days","[Over the past 30 day] how often did {you/SP} do {activity}?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 300"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9260"", ""6""]; Cumulative=[""9260"", ""9266""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQIAF","PADDURAT","PADDURAT","Average duration of activity (minutes)","[Over the past 30 days] on average about how long did {you/SP} do {activity} each time?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 600"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9260"", ""6""]; Cumulative=[""9260"", ""9266""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQIAF","PADMETS","PADMETS","MET score for activity","Metabolic equivalent(MET) intensity level for activity.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.5 to 10"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9266"", ""0""]; Cumulative=[""9266"", ""9266""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQIAF","PAAQUEX","PAAQUEX","Questionnaire source flag for weighting","Questionnaire source flag for weighting","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Sample Person Interview Questionnaire Targets  (B(16-150))"", ""MEC CAPI Questionnaire Targets (B(12-15))"", ""Missing""]; Count=[""6986"", ""2280"", ""0""]; Cumulative=[""6986"", ""9266"", ""9266""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
