"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"KIQ_P_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Males only 20 YEARS - 150 YEARS",NA,NA
"KIQ_P_D","KIQBOX1","KIQBOX1",NA,NA,"Males only 20 YEARS - 150 YEARS",NA,NA
"KIQ_P_D","KIQ081","KIQ081","Have trouble starting to urinate?","The next set of questions is about mens health including urinary and prostate problems. The prostate is a gland located just below the bladder. Do you usually have trouble starting to urinate (pass water)?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""122"", ""1242"", ""0"", ""2"", ""918""]; Cumulative=[""122"", ""1364"", ""1364"", ""1366"", ""2284""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_P_D","KIQ101","KIQ101","After urinating does bladder feel empty?","After urinating (passing water) does your bladder feel empty?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1202"", ""152"", ""0"", ""12"", ""918""]; Cumulative=[""1202"", ""1354"", ""1354"", ""1366"", ""2284""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_P_D","KIQ490","KIQ490","Have prostate disease?","Have you ever been told by a doctor or health professional that you have any disease of the prostate? This includes an enlarged prostate.","Males only 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""253"", ""1834"", ""0"", ""6"", ""191""]; Cumulative=[""253"", ""2087"", ""2087"", ""2093"", ""2284""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_P_D","KIQBOX2","KIQBOX2",NA,NA,"Males only 20 YEARS - 150 YEARS",NA,NA
"KIQ_P_D","KIQ121","KIQ121","Ever told had enlarged prostate?","Have you ever been told by a doctor or health professional that you had an enlarged prostate gland?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""264"", ""1083"", ""0"", ""19"", ""918""]; Cumulative=[""264"", ""1347"", ""1347"", ""1366"", ""2284""]; Skip.to.Item=["""", ""KIQ361"", ""KIQ361"", ""KIQ361"", """"]"
"KIQ_P_D","KIQ141","KIQ141","Was it a benign enlargement?","Was it a benign enlargement - that is not cancerous also called benign prostatic hypertrophy?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""216"", ""41"", ""0"", ""7"", ""2020""]; Cumulative=[""216"", ""257"", ""257"", ""264"", ""2284""]; Skip.to.Item=["""", ""KIQ182"", ""KIQ182"", ""KIQ182"", """"]"
"KIQ_P_D","KIQ161","KIQ161","How old when told had benign enlargement","How old were you when you were first told that you had benign enlargement of the prostate gland?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""19 to 84"", ""85"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""85 or greater years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""210"", ""2"", ""0"", ""3"", ""2069""]; Cumulative=[""210"", ""212"", ""212"", ""215"", ""2284""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_P_D","KIQBOX3","KIQBOX3",NA,NA,"Males only 40 YEARS - 150 YEARS",NA,NA
"KIQ_P_D","KIQ182","KIQ182","Was the enlargement due to cancer?","Was the enlargement due to cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""28"", ""14"", ""0"", ""6"", ""2236""]; Cumulative=[""28"", ""42"", ""42"", ""48"", ""2284""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_P_D","KIQ361","KIQ361","Rectal exam to check for prostate cancer","Have you ever had a rectal examination to check for prostate cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""998"", ""365"", ""0"", ""3"", ""918""]; Cumulative=[""998"", ""1363"", ""1363"", ""1366"", ""2284""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
