"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"PAQIAF_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"PAQIAF_B","PADACTIV","PADACTIV","Leisure time activity","[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""71"", "".""]; Value.Description=[""AEROBICS"", ""BASEBALL"", ""BASKETBALL"", ""BICYCLING"", ""BOWLING"", ""DANCE"", ""FISHING"", ""FOOTBALL"", ""GARDENING"", ""GOLF"", ""HIKING"", ""HOCKEY"", ""HUNTING"", ""JOGGING"", ""KAYAKING"", ""PUSH-UPS"", ""RACQUETBALL"", ""ROLLERBLADING"", ""ROWING"", ""RUNNING"", ""SIT-UPS"", ""SKATING"", ""SKIING - CROSS COUNTRY"", ""SKIING - DOWNHILL"", ""SOCCER"", ""SOFTBALL"", ""STAIR CLIMBING"", ""STRETCHING"", ""SWIMMING"", ""TENNIS"", ""TREADMILL"", ""VOLLEYBALL"", ""WALKING"", ""WEIGHT LIFTING"", ""YARD WORK"", ""BOXING"", ""FRISBEE"", ""HORSEBACK RIDING"", ""MARTIAL ARTS"", ""WRESTLING"", ""YOGA"", ""CHEERLEADING AND GYMNASTICS"", ""CHILDREN'S GAMES (E.G. DODGEBALL, KICKBALL)"", ""ROPE JUMPING"", ""SKATEBOARDING"", ""SURFING"", ""TRAMPOLINE JUMPING"", ""OTHER"", ""Missing""]; Count=[""450"", ""157"", ""1074"", ""890"", ""100"", ""889"", ""142"", ""423"", ""280"", ""316"", ""323"", ""41"", ""58"", ""560"", ""19"", ""179"", ""37"", ""112"", ""24"", ""982"", ""245"", ""99"", ""29"", ""30"", ""346"", ""114"", ""239"", ""349"", ""452"", ""148"", ""395"", ""209"", ""2187"", ""613"", ""556"", ""33"", ""42"", ""32"", ""46"", ""51"", ""47"", ""22"", ""11"", ""14"", ""18"", ""6"", ""12"", ""38"", ""0""]; Cumulative=[""450"", ""607"", ""1681"", ""2571"", ""2671"", ""3560"", ""3702"", ""4125"", ""4405"", ""4721"", ""5044"", ""5085"", ""5143"", ""5703"", ""5722"", ""5901"", ""5938"", ""6050"", ""6074"", ""7056"", ""7301"", ""7400"", ""7429"", ""7459"", ""7805"", ""7919"", ""8158"", ""8507"", ""8959"", ""9107"", ""9502"", ""9711"", ""11898"", ""12511"", ""13067"", ""13100"", ""13142"", ""13174"", ""13220"", ""13271"", ""13318"", ""13340"", ""13351"", ""13365"", ""13383"", ""13389"", ""13401"", ""13439"", ""13439""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQIAF_B","PADLEVEL","PADLEVEL","Activity level","Reported intensity level of activity.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""MODERATE"", ""VIGOROUS"", ""Missing""]; Count=[""6321"", ""7118"", ""0""]; Cumulative=[""6321"", ""13439"", ""13439""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PAQIAF_B","PADTIMES","PADTIMES","# of times did activity in past 30 days","[Over the past 30 days] how often did {you/SP} do {activity}?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 300"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""13432"", ""7""]; Cumulative=[""13432"", ""13439""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQIAF_B","PADDURAT","PADDURAT","Average duration of activity (minutes)","[Over the past 30 days] on average about how long did {you/SP} do {activity} each time?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 600"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""13433"", ""6""]; Cumulative=[""13433"", ""13439""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQIAF_B","PADMETS","PADMETS","MET score for activity","Metabolic equivalent(MET) intensity level for activity.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.5 to 10"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""13439"", ""0""]; Cumulative=[""13439"", ""13439""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQIAF_B","PAAQUEX","PAAQUEX","Questionnaire source flag for weighting","Questionnaire source flag for weighting","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Sample Person Interview Questionnaire Targets  (B(16-150))"", ""MEC CAPI Questionnaire Targets (B(12-15))"", ""Missing""]; Count=[""10342"", ""3097"", ""0""]; Cumulative=[""10342"", ""13439"", ""13439""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
