"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SXQ_H","SXD621","SXD621","How old when first had oral sex","How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a mans penis or genitals.","Both males and females 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""10 to 53"", ""9"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""9 years or younger"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1554"", ""21"", ""6"", ""1"", ""3475""]; Cumulative=[""1554"", ""1575"", ""1581"", ""1582"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ624","SXQ624","# male oral sex partners/lifetime","In your lifetime on how many men have you performed oral sex?","Both males and females 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1 to 500"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1573"", ""7"", ""2"", ""3475""]; Cumulative=[""1573"", ""1580"", ""1582"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ850","SXQ850",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ627","SXQ627","# male oral sex partners/year","In the past 12 months on how many men have you performed oral sex?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 20"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1565"", ""4"", ""0"", ""3488""]; Cumulative=[""1565"", ""1569"", ""1569"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ765","SXQ765",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ865","SXQ865",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD630","SXD630","Last performed oral sex new male (days)","How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 14610"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1083"", ""6"", ""8"", ""3960""]; Cumulative=[""1083"", ""1089"", ""1097"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXD844","SXD844",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD744","SXD744",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ845","SXQ845",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
