"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"WHQ_F","WHQ280D","WHQ280D","Doctor","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""4"", "".""]; Value.Description=[""doctor, or"", ""Missing""]; Count=[""87"", ""6802""]; Cumulative=[""87"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ280E","WHQ280E","Other health professional","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""5"", "".""]; Value.Description=[""other health professional"", ""Missing""]; Count=[""18"", ""6871""]; Cumulative=[""18"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ185","WHQ185",NA,NA,"Both males and females 16 YEARS - 150 YEARS",NA,NA
"WHQ_F","WHQ090","WHQ090","Tried not to gain weight in past year","During the past 12 months {have you/has SP} done anything to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""663"", ""3542"", ""1"", ""7"", ""2676""]; Cumulative=[""663"", ""4205"", ""4206"", ""4213"", ""6889""]; Skip.to.Item=["""", ""WHQ210"", ""WHQ210"", ""WHQ210"", """"]"
"WHQ_F","WHD100A","WHD100A","Ate less food","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", ""77"", ""99"", "".""]; Value.Description=[""Ate less food (amount)"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""261"", ""0"", ""0"", ""6628""]; Cumulative=[""261"", ""261"", ""261"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHD100B","WHD100B","Switched to foods with lower calories","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""Switched to foods with lower calories"", ""Missing""]; Count=[""94"", ""6795""]; Cumulative=[""94"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100C","WHD100C","Ate less fat","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""Ate less fat"", ""Missing""]; Count=[""157"", ""6732""]; Cumulative=[""157"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100D","WHD100D","Exercised","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""13"", "".""]; Value.Description=[""Exercised"", ""Missing""]; Count=[""365"", ""6524""]; Cumulative=[""365"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100E","WHD100E","Skipped meals","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""14"", "".""]; Value.Description=[""Skipped meals"", ""Missing""]; Count=[""56"", ""6833""]; Cumulative=[""56"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100F","WHD100F","Ate diet foods or products","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""15"", "".""]; Value.Description=[""Ate 'diet' foods or products"", ""Missing""]; Count=[""20"", ""6869""]; Cumulative=[""20"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
