"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DIQ_I","DIQ175G","DIQ175G","Lack of physical activity","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""Lack of physical activity"", ""Missing""]; Count=[""280"", ""9295""]; Cumulative=[""280"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175H","DIQ175H","High blood pressure","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""High blood pressure"", ""Missing""]; Count=[""258"", ""9317""]; Cumulative=[""258"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175I","DIQ175I","High blood sugar","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""18"", "".""]; Value.Description=[""High blood sugar"", ""Missing""]; Count=[""77"", ""9498""]; Cumulative=[""77"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175J","DIQ175J","High cholesterol","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""19"", "".""]; Value.Description=[""High cholesterol"", ""Missing""]; Count=[""150"", ""9425""]; Cumulative=[""150"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175K","DIQ175K","Hypoglycemic","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""20"", "".""]; Value.Description=[""Hypoglycemic"", ""Missing""]; Count=[""31"", ""9544""]; Cumulative=[""31"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175L","DIQ175L","Extreme hunger","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""21"", "".""]; Value.Description=[""Extreme hunger"", ""Missing""]; Count=[""59"", ""9516""]; Cumulative=[""59"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175M","DIQ175M","Tingling/numbness in hands or feet","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""22"", "".""]; Value.Description=[""Tingling/numbness in hands or feet"", ""Missing""]; Count=[""138"", ""9437""]; Cumulative=[""138"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175N","DIQ175N","Blurred vision","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""23"", "".""]; Value.Description=[""Blurred vision"", ""Missing""]; Count=[""109"", ""9466""]; Cumulative=[""109"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175O","DIQ175O","Increased fatigue","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""24"", "".""]; Value.Description=[""Increased fatigue"", ""Missing""]; Count=[""134"", ""9441""]; Cumulative=[""134"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175P","DIQ175P","Anyone could be at risk","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""25"", "".""]; Value.Description=[""Anyone could be at risk"", ""Missing""]; Count=[""117"", ""9458""]; Cumulative=[""117"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
