"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_C","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""887.3695022 to 293828.97477"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9034"", ""609""]; Cumulative=[""9034"", ""9643""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_C","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""708.63828227 to 374736.26978"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8354"", ""1289""]; Cumulative=[""8354"", ""9643""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_C","DR2DRSTZ","DR2DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""8220"", ""52"", ""134"", ""1237"", ""0""]; Cumulative=[""8220"", ""8272"", ""8406"", ""9643"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DR2EXMER","DR2EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""11 to 97"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8406"", ""1237""]; Cumulative=[""8406"", ""9643""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_C","DRABF","DRABF","Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. ","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""141"", ""8893"", ""609""]; Cumulative=[""141"", ""9034"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""680"", ""8354"", ""609""]; Cumulative=[""680"", ""9034"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DR2DAY","DR2DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1586"", ""1947"", ""1605"", ""1670"", ""562"", ""652"", ""384"", ""1237""]; Cumulative=[""1586"", ""3533"", ""5138"", ""6808"", ""7370"", ""8022"", ""8406"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DR2LANG","DR2LANG","Language SP/Proxy used mostly","The SP/Proxy spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Missing""]; Count=[""7379"", ""931"", ""84"", ""0"", ""1249""]; Cumulative=[""7379"", ""8310"", ""8394"", ""8394"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DR2MNRSP","DR2MNRSP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6110"", ""1886"", ""120"", ""52"", ""8"", ""28"", ""8"", ""36"", ""0"", ""0"", ""9"", ""34"", ""4"", ""0"", ""4"", ""1344""]; Cumulative=[""6110"", ""7996"", ""8116"", ""8168"", ""8176"", ""8204"", ""8212"", ""8248"", ""8248"", ""8248"", ""8257"", ""8291"", ""8295"", ""8295"", ""8299"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DR2HELPD","DR2HELPD","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No one"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""242"", ""223"", ""29"", ""120"", ""21"", ""14"", ""2"", ""7"", ""14"", ""2"", ""8"", ""49"", ""7559"", ""2"", ""0"", ""4"", ""1347""]; Cumulative=[""242"", ""465"", ""494"", ""614"", ""635"", ""649"", ""651"", ""658"", ""672"", ""674"", ""682"", ""731"", ""8290"", ""8292"", ""8292"", ""8296"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_C","DR2TNUMF","DR2TNUMF","Number of foods","Total number of foods reported in the individual foods file","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 42"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8354"", ""1289""]; Cumulative=[""8354"", ""9643""]; Skip.to.Item=[""NA"", ""NA""]"
