"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_I","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1974.178694 to 454277.71731"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""8506"", ""1038"", ""0""]; Cumulative=[""8506"", ""9544"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_I","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1663.514111 to 579148.95623"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 2 dietary recall not done/incomplete"", ""Missing""]; Count=[""7027"", ""1479"", ""1038""]; Cumulative=[""7027"", ""8506"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2DRSTZ","DR2DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""6875"", ""44"", ""152"", ""2473"", ""0""]; Cumulative=[""6875"", ""6919"", ""7071"", ""9544"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2EXMER","DR2EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""32 to 91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7071"", ""2473""]; Cumulative=[""7071"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DRABF","DRABF","Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. ","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""180"", ""8326"", ""1038""]; Cumulative=[""180"", ""8506"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""1479"", ""7027"", ""1038""]; Cumulative=[""1479"", ""8506"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2DBIH","DR2DBIH","# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""-28 to 141"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6923"", ""2621""]; Cumulative=[""6923"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2DAY","DR2DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1218"", ""1296"", ""1553"", ""1129"", ""1151"", ""543"", ""181"", ""2473""]; Cumulative=[""1218"", ""2514"", ""4067"", ""5196"", ""6347"", ""6890"", ""7071"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2LANG","DR2LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Asian Languages"", ""Asian Languages and English"", ""Missing""]; Count=[""6239"", ""812"", ""39"", ""2"", ""38"", ""5"", ""2409""]; Cumulative=[""6239"", ""7051"", ""7090"", ""7092"", ""7130"", ""7135"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2MRESP","DR2MRESP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Spouse of SP"", ""Child of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5222"", ""1519"", ""138"", ""30"", ""25"", ""49"", ""5"", ""0"", ""9"", ""30"", ""0"", ""0"", ""2517""]; Cumulative=[""5222"", ""6741"", ""6879"", ""6909"", ""6934"", ""6983"", ""6988"", ""6988"", ""6997"", ""7027"", ""7027"", ""7027"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2HELP","DR2HELP","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Parent of SP"", ""Spouse of SP"", ""Child of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No One"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""275"", ""213"", ""92"", ""15"", ""7"", ""12"", ""0"", ""10"", ""19"", ""6379"", ""0"", ""0"", ""2522""]; Cumulative=[""275"", ""488"", ""580"", ""595"", ""602"", ""614"", ""614"", ""624"", ""643"", ""7022"", ""7022"", ""7022"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
