Lab Method Name,Documentation,Release Date,PDF Link
Anti-Müllerian Hormone,[PDF - 1.18 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-AMH-508.pdf
"Arsenic, Chromium, and Nickel Urine",[PDF - 2.92 MB],October 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UTAS-J-UCM-J-UNI-J-MET-508.pdf
Arsenics - Speciated - Urine,[PDF - 3.58 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UAS-J-MET-508.pdf
BIOPRO - Alanine Amino Transferase (ALT),[PDF - 873 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-ALT-508.pdf
BIOPRO - Albumin,[PDF - 874 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Albumin-508.pdf
BIOPRO - Alkaline Phosphatase (ALP),[PDF - 873 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-ALP-508.pdf
BIOPRO - Aspartate Aminotransferase (AST),[PDF - 879 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-AST-508.pdf
BIOPRO - Bicarbonate (HCO3),[PDF - 933 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Bicarbonate-508.pdf
BIOPRO - Blood Urea Nitrogen (BUN),[PDF - 877 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-BUN-508.pdf
BIOPRO - Chloride,[PDF - 888 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Chloride-508.pdf
BIOPRO - Creatine Phosphokinase (CPK),[PDF - 874 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-CPK-508.pdf
BIOPRO - Creatinine,[PDF - 904 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Creatinine-508.pdf
BIOPRO - Gamma-Glutamyl Transferase (GGT),[PDF - 892 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-GGT-508.pdf
BIOPRO - Glucose - Serum - Refrigerated,[PDF - 898 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Glucose-508.pdf
BIOPRO - Iron - Refrigerated,[PDF - 899 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Iron-508.pdf
BIOPRO - Lactate Dehydrogenase (LDH),[PDF - 901 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-LDH-508.pdf
BIOPRO - Phosphorus,[PDF - 895 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Phosphorus-508.pdf
BIOPRO - Potassium,[PDF - 879 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Potassium-508.pdf
BIOPRO - Sodium,[PDF - 885 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Sodium-508.pdf
BIOPRO - Total Bilirubin,[PDF - 893 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Bilirubin-508.pdf
BIOPRO - Total Calcium,[PDF - 876 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Calcium-508.pdf
BIOPRO - Total Cholesterol - Refrigerated,[PDF - 909 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Cholesterol-508.pdf
BIOPRO - Total Protein,[PDF - 903 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Protein-508.pdf
BIOPRO - Triglycerides - Refrigerated,[PDF - 911 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Triglycerides-508.pdf
BIOPRO - Uric Acid,[PDF - 903 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Uric-Acid-508.pdf
"Cadmium, Lead, Manganese, Mercury, and Selenium",[PDF - 1.74 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PBCD-J-PBY-J-R-MET-508.pdf
Chlamydia,[PDF - 691 KB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CHLA-J-R-CHLM-J-R-MET-508.pdf
Chromium and Cobalt,[PDF - 2.13 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CRCO-J-MET-508.pdf
Complete Blood Count,[PDF - 11.3 MB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CBC-J-MET-508.pdf
Cotinine and Hydroxycotinine in Serum,[PDF - 1.45 MB],March 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/COT-J-MET-508.pdf
Cytomegalovirus (CMV) Serology,[PDF - 644 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CMV-J-MET-508.pdf
Direct HDL,[PDF - 751 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HDL-J-MET-508.pdf
Ethylene Oxide,[PDF - 2.10 MB],February 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ETHOX-J-MET-508.pdf
Ferritin,[PDF - 966 KB],April 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FERTIN-J-MET-508.pdf
Flame Retardants - Urine,[PDF - 1.22 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FR-J-MET-508.pdf
Folate - RBC,[PDF - 1.39 MB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FOLATE-J-MET-508.pdf
Folate Forms,[PDF - 2.05 MB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FOLFMS-J-MET-508.pdf
Follicle-Stimulating Hormone (FSH),[PDF - 1.05 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-FSH-508.pdf
Glycohemoglobin G8,[PDF - 890 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GHB-J-G8-508.pdf
Glycohemoglobin Premier,[PDF - 792 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GHB-J-Premier-508.pdf
Hepatitis A Antibody,[PDF - 655 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPA-J-MET-HEPATITIS-A-ANTIBODY-508.pdf
Hepatitis B Core Antibody,[PDF - 681 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-J-MET-HEPATITIS-B-CORE-ANTIBODY-508.pdf
Hepatitis B Surface Antibody,[PDF - 719 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPB-S-J-MET-HEPATITIS-B-SURFACE-ANTIBODY-508.pdf
Hepatitis B Surface Antigen,[PDF - 870 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-J-MET-HEPATITIS-B-SURFACE-ANTIGEN-508.pdf
Hepatitis C Antibody / Hepatitis C Confirmatory Test (Anti-HCV),[PDF - 844 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-J-MET-HEPATITIS-C-ANTIBODY-CONFIRMED-508.pdf
Hepatitis C Genotype,[PDF - 725 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-J-MET-HEPATITIS-C-GENOTYPE-508.pdf
Hepatitis C RNA,[PDF - 812 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-J-MET-HEPATITIS-C-RNA-508.pdf
Hepatitis D Antibody,[PDF - 647 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-J-MET-HEPATITIS-D-ANTIBODY-508.pdf
Hepatitis E IgG Antibody,[PDF - 945 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPE-J-MET-HEPATITIS-E-IgG-ANTIBODY-508.pdf
Hepatitis E IgM Antibody,[PDF - 950 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPE-J-MET-HEPATITIS-E-IgM-ANTIBODY-508.pdf
Herpes Simplex Virus,[PDF - 678 KB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HSVA-J-R-HSV-J-R-MET-508.pdf
HIV Combo,[PDF - 735 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-J-MET-COMBO-EIA-508.pdf
HIV Multispot,[PDF - 797 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-J-MET-Geenius-508.pdf
HIV NAT,[PDF - 749 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-J-MET-APTIMA-508.pdf
HS-CRP,[PDF - 874 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HSCRP-J-MET-508.pdf
"Inorganic Mercury, Methyl Mercury, Ethyl Mercury",[PDF - 2.07 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/IHGEM-J-MET-508.pdf
Insulin,[PDF - 788 KB],August 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/INS-J-MET-508.pdf
"Iodine and Mercury, Urine",[PDF - 2.24 MB],October 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UIO-J-UHG-J-MET-508.pdf
Iron Status - Iron (Frozen),[PDF - 955 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FETIB-J-MET-Iron-(Frozen)-508.pdf
Iron Status - UIBC (Frozen),[PDF - 936 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FETIB-J-MET-UIBC-508.pdf
Luteinizing Hormone (LH),[PDF - 1.16 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-LUH-508.pdf
Metals - Urine,[PDF - 3.78 MB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UM-J-MET-508.pdf
Mycoplasma Genitalium,[PDF - 694 KB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/MGEA-J-R-MGEN-J-R-MET-508.pdf
Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,[PDF - 1.96 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/OPD-J-MET-508.pdf
Panel of Steroid Hormones,[PDF - 2.64 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-HormonePanel-508.pdf
Perfluoroalkyl and Polyfluoroalkyl Substances (PFAS),[PDF - 1.39 MB],November 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PFAS-J-MET-508.pdf
Phthalates and Plasticizers Metabolites,[PDF - 2.08 MB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PHTHTE-J-MET-508.pdf
Plasma Fasting Glucose,[PDF - 779 KB],August 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GLU-J-MET-508.pdf
Sex Hormone-Binding Globulin,[PDF - 1.18 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-SHBG-508.pdf
Total Cholesterol (Frozen),[PDF - 758 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TCHOL-J-MET-508.pdf
Transferrin Receptor,[PDF - 1.09 MB],February 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TFR-J-MET-508.pdf
Trichomonas,[PDF - 694 KB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TRIA-J-R-TRIC-J-R-MET-508.pdf
"Uninary Perchlorate, Nitrate, and Thiocyanate",[PDF - 1.50 MB],September 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PERNT-J-MET-508.pdf
Urinary Cotinine and Hydroxycotinine,[PDF - 1.42 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UCOT-J-MET-508.pdf
