Title,Description,Module_Name,Document,Link
Interviewer Manuals,,Interviewer Procedure Manual,[PDF - 41.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2017_Interviewer_Procedures_Manual.pdf
Interviewer Manuals,,MEC Interviewers Procedures Manual,[PDF - 22.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2017_MEC_Interviewers_Procedures.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/Screener_Modules_1_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 67 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/Screener_Modules_2_and_Interpreter.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Consumer Behavior,[PDF - 37 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CBQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HOQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 157 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/INQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Occupation,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OCQ_Family_J.pdf
