Titulo,Descricao,Nome_Modulo,Documento,Link
Interview,,Interviewer Procedure Manual,[PDF - 41.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_Interviewer_Procedures_Manual.pdf
Interview,,MEC Interviewers Procedures Manual,[PDF - 22.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_MEC_Interviewers_Procedures.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 13.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_MEC_Laboratory_Procedures_Manual.pdf
Examination,,Anthropometry (Body Measures),[PDF - 5.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_Anthropometry_Procedures_Manual.pdf
Examination,,Audiometry,[PDF - 18.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018-Audiometry-Procedures-Manual-508.pdf
Examination,,Blood Pressure – Oscillometric Measurement,[PDF - 6.15 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2019-Blood-Pressure-Procedures-Manual-508.pdf
Examination,,Body Composition,[PDF - 5.66 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/Body_Composition_Procedures_Manual_2018.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_MEC_In-Person_Dietary_Interviewers_Manual.pdf
Examination,,Dietary Interviewer - Phone Follow-Up,[PDF - 8.67 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/NHANES-2018-PhoneFollowUpDietaryManual-508.pdf
Examination,,Liver Ultrasound Transient Elastography,[PDF - 12.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018_Liver_Ultrasound_Elastography_Procedures_Manual.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 4.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018_Oral_Health_Examiners_Manual.pdf
Examination,,Oral Health (Dental Recorder),[PDF - 1.95 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018_Oral_Health_Recorders_Procedures_Manual.pdf
Examination,,Physician Examination,[PDF - 8.48 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018-Physician-Examination-Manual-508.pdf
