Lab Method Name,Documentation,Release Date,PDF Link
Alanine Amino Transferase (ALT) (Beckman Synchron LX20),[PDF - 59 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/alt_biopro_e_met_-lx20.pdf
Alanine Amino Transferase (ALT) (Beckman UniCel®  DxC800 Synchron),[PDF - 52 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/alt_biopro_e_met_dxc800.pdf
Albumin (Beckman Synchron LX20),[PDF - 61 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/alb_biopro_e_met_lx20.pdf
Albumin (Beckman UniCel®  DxC800 Synchron),[PDF - 85 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/alb_biopro_e_met_dxc800.pdf
Alkaline Phosphatase (ALP) (Beckman Synchron LX20),[PDF - 60 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/alp_biopro_e_met_-lx20.pdf
Alkaline Phosphatase (ALP) (Beckman UniCel®  DxC800 Synchron),[PDF - 47 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/alp-biopro_e_met_dxc800.pdf
Apolipoprotein B,[PDF - 92 KB],July 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/apob_e_met.pdf
Aspartate Aminotransferase (AST) (Beckman Synchron LX20),[PDF - 61 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/ast_biopro_e_met_lx20.pdf
Aspartate Aminotransferase (AST) (Beckman UniCel®  DxC800 Synchron),[PDF - 52 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/ast_biopro_e_met_dxc800.pdf
Bicarbonate (Beckman Synchron LX20),[PDF - 61 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/co3_biopro_e_met_lx20.pdf
Bicarbonate (Beckman UniCel®  DxC800 Synchron),[PDF - 47 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/co3_biopro_e_met_dxc800.pdf
Bilirubin (Beckman Synchron LX20),[PDF - 61 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/bil_biopro_e_met_lx20.pdf
Bilirubin (Beckman UniCel®  DxC800 Synchron),[PDF - 49 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/bil_biopro_e_met_dxc800.pdf
Blood Urea Nitrogen (BUN) (Beckman Synchron LX20),[PDF - 60 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/bun_biopro_e_met_lx20.pdf
Blood Urea Nitrogen (BUN) (Beckman UniCel®  DxC800 Synchron),[PDF - 47 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/bun_biopro_e_met_dxc800.pdf
Chlamydia trachomatis and Neisseria gonorrhoeae,[PDF - 151 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/chlmda_e_met_chlamydia.pdf
Chloride (Beckman Synchron LX20),[PDF - 60 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/cl_biopro_e_met_lx20.pdf
Chloride (Beckman UniCel®  DxC800 Synchron),[PDF - 48 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/cl_biopro_e_-met_dxc800.pdf
Cholesterol (Beckman Synchron LX20),[PDF - 58 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/ch_biopro_e_met_lx20.pdf
Cholesterol (Beckman UniCel®  DxC800 Synchron),[PDF - 83 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/ch_biopro_e_met_dxc800.pdf
Complete Blood Count,[PDF - 5.71 MB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/cbc_e_met.pdf
Cotinine,[PDF - 213 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/cot_e_met.pdf
C-Reactive Protein,[PDF - 100 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/crp_e_met.pdf
Creatinine (Beckman Synchron LX20),[PDF - 63 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/cre_biopro_e_met_lx20.pdf
Creatinine (Beckman UniCel®  DxC800 Synchron),[PDF - 85 KB],September 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/cre_biopro_e_met_dxc800.pdf
"Desethyldesisopropylatrazine (DCZ), Desisopropylatrazine (SIS), Desethylatrazine (DTZ), Atrazine (AAZ), Desisopropilatrazine mercapturate(SISM), Atrazine mercapturate (ATZ)",[PDF - 567 KB],September 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/UAM_E_met.pdf
Environmental Pesticides - Pesticides,[PDF - 610 KB],October 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/pp_e_pesticides_met_environmental_pesticides.pdf
Environmental Pesticides - Phenols,[PDF - 617 KB],October 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/2007/labmethods/pp_e_met_phenols.pdf
