"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HOQ_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HOQ_H","HOD050","HOD050","Number of rooms in home","How many rooms are in this home? Count the kitchen but not the bathroom.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""777"", ""999"", "".""]; Value.Description=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""88"", ""202"", ""683"", ""1613"", ""2093"", ""1922"", ""1272"", ""853"", ""574"", ""343"", ""197"", ""108"", ""85"", ""16"", ""5"", ""121""]; Cumulative=[""88"", ""290"", ""973"", ""2586"", ""4679"", ""6601"", ""7873"", ""8726"", ""9300"", ""9643"", ""9840"", ""9948"", ""10033"", ""10049"", ""10054"", ""10175""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_H","HOQ065","HOQ065","Home owned bought rented other","Is this {mobile home/house/apartment} owned being bought rented or occupied by some other arrangement by {you/you or someone else in your family}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Owned or being bought"", ""Rented"", ""Other arrangement"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5550"", ""4269"", ""223"", ""11"", ""1"", ""121""]; Cumulative=[""5550"", ""9819"", ""10042"", ""10053"", ""10054"", ""10175""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
