"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CBQPFA_E","CBQ600","CBQ600","Heard of Food Pyramid","Have you heard of the Food Pyramid or the Food Guide Pyramid?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1356"", ""1370"", ""0"", ""11"", ""3285""]; Cumulative=[""1356"", ""2726"", ""2726"", ""2737"", ""6022""]; Skip.to.Item=[""CBQ610"", ""DBQ890"", ""DBQ890"", ""DBQ890"", """"]"
"CBQPFA_E","CBQ605","CBQ605","Looked up MyPyramid on internet","Have you looked up the MyPyramid plan for a {man/woman/person} your age on the internet?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""236"", ""1837"", ""0"", ""2"", ""3947""]; Cumulative=[""236"", ""2073"", ""2073"", ""2075"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ610","CBQ610","Tried MyPyramid plan","Have you tried to follow the (My Pyramid Plan/Pyramid plan) recommended for you?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1020"", ""2402"", ""0"", ""9"", ""2591""]; Cumulative=[""1020"", ""3422"", ""3422"", ""3431"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBD620","CBD620","Cups of milk needed per day","Let us talk about the amounts from different food groups that a person should eat each day. How many cups of milk would you say a {man/woman/person} of your age and physical activity should eat each day for good health?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16"", ""77777777"", ""99999999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3070"", ""0"", ""360"", ""2592""]; Cumulative=[""3070"", ""3070"", ""3430"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBD625","CBD625","Cups of fruits needed per day","How many cups of fruits would you say a {man/woman/person} of your age and physical activity should eat each day for good health?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""77777777"", ""99999999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3223"", ""0"", ""207"", ""2592""]; Cumulative=[""3223"", ""3223"", ""3430"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBD630","CBD630","Cups of vegetables needed per day","How many cups of vegetables including dark green orange starchy and other vegetables would you say a {man/woman/person} of your age and physical activity should eat each day for good health?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15"", ""77777777"", ""99999999"", "".""]; Value.Description=[""Range of Values"", ""refused"", ""Don't know"", ""Missing""]; Count=[""3252"", ""0"", ""178"", ""2592""]; Cumulative=[""3252"", ""3252"", ""3430"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBD635","CBD635","Ounces of meat/beans needed per day","How many ounces of meat and beans would you say a {man/woman/person} of your age and physical activity should eat each day for good health?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 65"", ""77777777"", ""99999999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2931"", ""0"", ""499"", ""2592""]; Cumulative=[""2931"", ""2931"", ""3430"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBD637","CBD637","Ounces of grains needed per day","How many ounces of grains would you say a man/woman of your age and physical activity should eat each day for good health?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 90"", ""77777777"", ""99999999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2729"", ""0"", ""701"", ""2592""]; Cumulative=[""2729"", ""2729"", ""3430"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBD640","CBD640","Ounces of whole grains needed per day","How many ounces of whole grains would you say a {man/woman/person} of your age and physical activity should eat each day for good health?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 65"", ""66666666"", ""77777777"", ""99999999"", "".""]; Value.Description=[""Range of Values"", ""Don't know what is 'whole grain'"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2629"", ""106"", ""0"", ""695"", ""2592""]; Cumulative=[""2629"", ""2735"", ""2735"", ""3430"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ645","CBQ645","Calorie needed per day","{Please turn to hand card 2.} About how many calories do you think a {man/woman} of your age and physical activity needs to consume a day to maintain your current weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""Less than 500 calories"", ""500-1000 calories"", ""1001-1500 calorties"", ""1501-2000 calories"", ""2001-2500 calories"", ""2501-3000 calories"", ""More than 3000 calories"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""201"", ""433"", ""935"", ""1065"", ""438"", ""126"", ""45"", ""0"", ""186"", ""2593""]; Cumulative=[""201"", ""634"", ""1569"", ""2634"", ""3072"", ""3198"", ""3243"", ""3243"", ""3429"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
