"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HOQ_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HOQ_B","HOD010","HOD010","Type of home","Id like to ask you a few questions about your home. Is your home . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""9"", "".""]; Value.Description=[""A mobile home or trailer,"", ""A one family house detached from any other house,"", ""A one family house attached to one or more houses,"", ""An apartment,"", ""Something else,"", ""Dormitory?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""952"", ""6456"", ""932"", ""2346"", ""127"", ""47"", ""3"", ""2"", ""174""]; Cumulative=[""952"", ""7408"", ""8340"", ""10686"", ""10813"", ""10860"", ""10863"", ""10865"", ""11039""]; Skip.to.Item=[""HOD040"", ""HOD040"", ""HOD040"", """", ""HOD040"", ""HOD040"", ""HOD040"", ""HOD040"", """"]"
"HOQ_B","HOD030","HOD030","How many apartments in building","How many apartments are in this building? Would you say . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""1 to 2,"", ""3 or 4,"", ""5 to 9,"", ""10 to 19,"", ""20 to 49, or"", ""50 or more?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""238"", ""336"", ""458"", ""477"", ""414"", ""279"", ""0"", ""114"", ""8723""]; Cumulative=[""238"", ""574"", ""1032"", ""1509"", ""1923"", ""2202"", ""2202"", ""2316"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOD040","HOD040","When was home built","When was this {mobile home/house/building} originally built?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""1990 to present"", ""1978 to 1989,"", ""1960 to 1977,"", ""1950 to 1959,"", ""1940 to 1949, or"", ""Before 1940?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1703"", ""1663"", ""1919"", ""970"", ""465"", ""1193"", ""32"", ""2920"", ""174""]; Cumulative=[""1703"", ""3366"", ""5285"", ""6255"", ""6720"", ""7913"", ""7945"", ""10865"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOD050","HOD050","Number of rooms in home","How many rooms are in this home? Count the kitchen but not the bathroom.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 12"", ""13"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""13 or More"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""10725"", ""93"", ""19"", ""28"", ""174""]; Cumulative=[""10725"", ""10818"", ""10837"", ""10865"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOD060","HOD060","How many years family lived in home","How many years {have you/has your family} lived at this address?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""77"", ""99"", "".""]; Value.Description=[""Less than one year"", ""1-2 years"", ""3-5 years"", ""6-10 years"", ""More than 10 years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2058"", ""1967"", ""2226"", ""1796"", ""2780"", ""16"", ""22"", ""174""]; Cumulative=[""2058"", ""4025"", ""6251"", ""8047"", ""10827"", ""10843"", ""10865"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOQ065","HOQ065","Home owned bought rented other","Is this {mobile home/house/apartment} owned being bought rented or occupied by some other arrangement by {you/you or someone else in your family}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Owned or being bought"", ""Rented"", ""Other arrangement"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6616"", ""4035"", ""203"", ""9"", ""2"", ""174""]; Cumulative=[""6616"", ""10651"", ""10854"", ""10863"", ""10865"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOQ070","HOQ070","Source of tap water","What is the source of tap water in this home? Is it a private or public water company a private or public well or something else?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Private/public water company"", ""Private/public well"", ""Something else"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""9952"", ""824"", ""19"", ""1"", ""69"", ""174""]; Cumulative=[""9952"", ""10776"", ""10795"", ""10796"", ""10865"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOQ080","HOQ080","Water treatment devices used or not","Are any of the water treatment devices listed on this card used in your home?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2501"", ""8315"", ""0"", ""49"", ""174""]; Cumulative=[""2501"", ""10816"", ""10816"", ""10865"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOD140","HOD140","Home painted in last 12 months","During the last 12 months were any areas inside your home painted such as walls trim or ceilings?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""493"", ""794"", ""0"", ""21"", ""9731""]; Cumulative=[""493"", ""1287"", ""1287"", ""1308"", ""11039""]; Skip.to.Item=["""", ""HOD160"", ""HOD160"", ""HOD160"", """"]"
"HOQ_B","HOD150","HOD150","Old paint scraped when home painted?","When this painting was done did someone sand or scrape off any of the old paint?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""102"", ""320"", ""1"", ""70"", ""10546""]; Cumulative=[""102"", ""422"", ""423"", ""493"", ""11039""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_B","HOD160","HOD160","Paint peeling flaking chipping inside","Are there any rooms in your home where you can see paint that is peeling flaking or chipping off the walls ceilings doors or windows?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""264"", ""1041"", ""0"", ""3"", ""9731""]; Cumulative=[""264"", ""1305"", ""1305"", ""1308"", ""11039""]; Skip.to.Item=["""", ""HOD190"", ""HOD190"", ""HOD190"", """"]"
