"Data.File.Name","Data.File.Description","Component","Begin.Year","EndYear"
"ACQ","Acculturation","Questionnaire",1999,2000
"ALQ","Alcohol Use","Questionnaire",1999,2000
"AUQ","Audiometry","Questionnaire",1999,2000
"BAQ","Balance","Questionnaire",1999,2000
"BPQ","Blood Pressure & Cholesterol","Questionnaire",1999,2000
"CDQ","Cardiovascular Health","Questionnaire",1999,2000
"CFQ","Cognitive Functioning","Questionnaire",1999,2000
"CIQGAD","Mental Health - Generalized Anxiety Disorder","Questionnaire",1999,2000
"CIQMDEP","Mental Health - Depression","Questionnaire",1999,2000
"CIQPANIC","Mental Health - Panic Disorder","Questionnaire",1999,2000
"DBQ","Diet Behavior & Nutrition","Questionnaire",1999,2000
"DEQ","Dermatology","Questionnaire",1999,2000
"DIQ","Diabetes","Questionnaire",1999,2000
"DUQ","Drug Use","Questionnaire",1999,2000
"ECQ","Early Childhood","Questionnaire",1999,2000
"FSQ","Food Security","Questionnaire",1999,2000
"HIQ","Health Insurance","Questionnaire",1999,2000
"HOQ","Housing Characteristics","Questionnaire",1999,2000
"HSQ","Current Health Status","Questionnaire",1999,2000
"HUQ","Hospital Utilization & Access to Care","Questionnaire",1999,2000
"IMQ","Immunization","Questionnaire",1999,2000
"KIQ","Kidney Conditions","Questionnaire",1999,2000
"MCQ","Medical Conditions","Questionnaire",1999,2000
"MPQ","Miscellaneous Pain","Questionnaire",1999,2000
"OCQ","Occupation","Questionnaire",1999,2000
"OHQ","Oral Health","Questionnaire",1999,2000
"OSQ","Osteoporosis","Questionnaire",1999,2000
"PAQ","Physical Activity","Questionnaire",1999,2000
"PAQIAF","Physical Activity - Individual Activities","Questionnaire",1999,2000
"PFQ","Physical Functioning","Questionnaire",1999,2000
"PUQ","Pesticide Use","Questionnaire",1999,2000
"RDQ","Respiratory Health","Questionnaire",1999,2000
"RHQ","Reproductive Health","Questionnaire",1999,2000
"RXQ_ANA","Analgesic Pain Relievers","Questionnaire",1999,2000
"RXQ_RX","Prescription Medications","Questionnaire",1999,2000
"SMQ","Smoking - Cigarette/Tobacco Use - Adult","Questionnaire",1999,2000
"SMQFAM","Smoking - Household Smokers","Questionnaire",1999,2000
"SMQMEC","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use","Questionnaire",1999,2000
"SSQ","Social Support","Questionnaire",1999,2000
"SXQ","Sexual Behavior","Questionnaire",1999,2000
"TBQ","Tuberculosis","Questionnaire",1999,2000
"VIQ","Vision","Questionnaire",1999,2000
"WHQ","Weight History","Questionnaire",1999,2000
"ACQ_B","Acculturation","Questionnaire",2001,2002
"ALQ_B","Alcohol Use","Questionnaire",2001,2002
"AUQ_B","Audiometry","Questionnaire",2001,2002
"BAQ_B","Balance","Questionnaire",2001,2002
"BPQ_B","Blood Pressure & Cholesterol","Questionnaire",2001,2002
"CDQ_B","Cardiovascular Health","Questionnaire",2001,2002
"CFQ_B","Cognitive Functioning","Questionnaire",2001,2002
"CIQDEP_B","Mental Health - Depression","Questionnaire",2001,2002
"CIQGAD_B","Mental Health - Generalized Anxiety Disorder","Questionnaire",2001,2002
"CIQPAN_B","Mental Health - Panic Disorder","Questionnaire",2001,2002
"DBQ_B","Diet Behavior & Nutrition","Questionnaire",2001,2002
"DEQ_B","Dermatology","Questionnaire",2001,2002
"DIQ_B","Diabetes","Questionnaire",2001,2002
"DUQ_B","Drug Use","Questionnaire",2001,2002
"ECQ_B","Early Childhood","Questionnaire",2001,2002
"FSQ_B","Food Security","Questionnaire",2001,2002
"HCQ_B","Hepatitis C Follow Up","Questionnaire",2001,2002
"HIQ_B","Health Insurance","Questionnaire",2001,2002
"HOQ_B","Housing Characteristics","Questionnaire",2001,2002
"HSQ_B","Current Health Status","Questionnaire",2001,2002
"HUQ_B","Hospital Utilization & Access to Care","Questionnaire",2001,2002
"IMQ_B","Immunization","Questionnaire",2001,2002
"KIQ_P_B","Prostate Conditions","Questionnaire",2001,2002
"KIQ_U_B","Kidney Conditions - Urology","Questionnaire",2001,2002
"MCQ_B","Medical Conditions","Questionnaire",2001,2002
"MPQ_B","Miscellaneous Pain","Questionnaire",2001,2002
"OCQ_B","Occupation","Questionnaire",2001,2002
"OHQ_B","Oral Health","Questionnaire",2001,2002
"OSQ_B","Osteoporosis","Questionnaire",2001,2002
"PAQ_B","Physical Activity","Questionnaire",2001,2002
"PAQIAF_B","Physical Activity - Individual Activities","Questionnaire",2001,2002
"PFQ_B","Physical Functioning","Questionnaire",2001,2002
"PUQ_B","Pesticide Use","Questionnaire",2001,2002
"RDQ_B","Respiratory Health","Questionnaire",2001,2002
"RHQ_B","Reproductive Health","Questionnaire",2001,2002
"RXQ_RX_B","Prescription Medications","Questionnaire",2001,2002
"RXQANA_B","Analgesic Pain Relievers","Questionnaire",2001,2002
"SMQ_B","Smoking - Cigarette/Tobacco Use - Adult","Questionnaire",2001,2002
"SMQFAM_B","Smoking - Household Smokers","Questionnaire",2001,2002
"SMQMEC_B","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use","Questionnaire",2001,2002
"SSQ_B","Social Support","Questionnaire",2001,2002
"SXQ_B","Sexual Behavior","Questionnaire",2001,2002
"VIQ_B","Vision","Questionnaire",2001,2002
"WHQ_B","Weight History","Questionnaire",2001,2002
"ACQ_C","Acculturation","Questionnaire",2003,2004
"ALQ_C","Alcohol Use","Questionnaire",2003,2004
"AUQ_C","Audiometry","Questionnaire",2003,2004
"BAQ_C","Balance","Questionnaire",2003,2004
"BPQ_C","Blood Pressure & Cholesterol","Questionnaire",2003,2004
"CDQ_C","Cardiovascular Health","Questionnaire",2003,2004
