"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HOQ_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HOQ_C","HOD011","HOD011","Type of home","Id like to ask you a few questions about your home. Is your home . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""Mobile home or trailer"", ""One family house detached from any other house"", ""One family house attached to one or more houses"", ""Apartment"", ""Something else"", ""Dormitory"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""711"", ""5730"", ""919"", ""2466"", ""63"", ""95"", ""2"", ""3"", ""133""]; Cumulative=[""711"", ""6441"", ""7360"", ""9826"", ""9889"", ""9984"", ""9986"", ""9989"", ""10122""]; Skip.to.Item=[""HOD040"", ""HOD040"", ""HOD040"", """", ""HOD040"", ""HOD040"", ""HOD040"", ""HOD040"", """"]"
"HOQ_C","HOD030","HOD030","How many apartments in building","How many apartments are in this building? Would you say . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", ""."", ""1""]; Value.Description=[""3 or 4"", ""5 to 9"", ""10 to 19"", ""20 to 49"", ""50 or more"", ""Refused"", ""Don't know"", ""Missing"", ""1 or 2""]; Count=[""443"", ""454"", ""487"", ""284"", ""358"", ""8"", ""59"", ""7662"", ""367""]; Cumulative=[""810"", ""1264"", ""1751"", ""2035"", ""2393"", ""2401"", ""2460"", ""10122"", ""367""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOD040","HOD040","When was home built","When was this {mobile home/house/building} originally built?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""1990 to present"", ""1978 to 1989"", ""1960 to 1977"", ""1950 to 1959"", ""1940 to 1949"", ""Before 1940"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1305"", ""1302"", ""1903"", ""1077"", ""459"", ""1142"", ""18"", ""2783"", ""133""]; Cumulative=[""1305"", ""2607"", ""4510"", ""5587"", ""6046"", ""7188"", ""7206"", ""9989"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOD050","HOD050","Number of rooms in home","How many rooms are in this home? Count the kitchen but not the bathroom.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 12"", ""13"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""13 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""9944"", ""27"", ""10"", ""8"", ""133""]; Cumulative=[""9944"", ""9971"", ""9981"", ""9989"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOD060","HOD060","How many years family lived in home","How many years {have you/has your family} lived at this address?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""77"", ""99"", "".""]; Value.Description=[""Less than one year"", ""1-2 years"", ""3-5 years"", ""6-10 years"", ""More than 10 years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1801"", ""1878"", ""1985"", ""1592"", ""2717"", ""12"", ""4"", ""133""]; Cumulative=[""1801"", ""3679"", ""5664"", ""7256"", ""9973"", ""9985"", ""9989"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOQ065","HOQ065","Home owned bought rented other","Is this {mobile home/house/apartment} owned being bought rented or occupied by some other arrangement by {you/you or someone else in your family}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Owned or being bought"", ""Rented"", ""Other arrangement"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5760"", ""3960"", ""265"", ""3"", ""1"", ""133""]; Cumulative=[""5760"", ""9720"", ""9985"", ""9988"", ""9989"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOQ070","HOQ070","Source of tap water","What is the source of tap water in this home? Is it a private or public water company a private or public well or something else?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Private/public water company"", ""Private/public well"", ""Something else"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""8914"", ""950"", ""22"", ""2"", ""101"", ""133""]; Cumulative=[""8914"", ""9864"", ""9886"", ""9888"", ""9989"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOQ080","HOQ080","Water treatment devices used or not","Are any of the water treatment devices listed on this card used in your home?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2226"", ""7726"", ""2"", ""35"", ""133""]; Cumulative=[""2226"", ""9952"", ""9954"", ""9989"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOD140","HOD140","Home painted in last 12 months","During the last 12 months were any areas inside your home painted such as walls trim or ceilings?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""527"", ""694"", ""0"", ""23"", ""8878""]; Cumulative=[""527"", ""1221"", ""1221"", ""1244"", ""10122""]; Skip.to.Item=["""", ""HOD160"", ""HOD160"", ""HOD160"", """"]"
"HOQ_C","HOD150","HOD150","Old paint scraped when home painted?","When this painting was done did someone sand or scrape off any of the old paint?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""122"", ""335"", ""2"", ""68"", ""9595""]; Cumulative=[""122"", ""457"", ""459"", ""527"", ""10122""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HOQ_C","HOD160","HOD160","Paint peeling flaking chipping inside","Are there any rooms in your home where you can see paint that is peeling flaking or chipping off the walls ceilings doors or windows?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""360"", ""882"", ""0"", ""2"", ""8878""]; Cumulative=[""360"", ""1242"", ""1242"", ""1244"", ""10122""]; Skip.to.Item=["""", ""HOD190"", ""HOD190"", ""HOD190"", """"]"
