"Variable.Name","Variable.Description"
"AIALANGA","Language of the MEC ACASI Interview Instrument"
"DMDBORN4","In what country {were you/was SP} born?"
"DMDEDUC2","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?"
"DMDMARTZ","Marital status"
"DMDYRUSZ","Length of time the participant has been in the US."
"FIAINTRP","Was an interpreter used to conduct the Family interview?"
"FIALANG","Language of the Family Interview Instrument"
"FIAPROXY","Was a Proxy respondent used in conducting the Family Interview?"
"INDFMPIR","A ratio of family income to poverty guidelines."
"MIAINTRP","Was an interpreter used to conduct the MEC CAPI interview?"
"MIALANG","Language of the MEC CAPI Interview Instrument"
"MIAPROXY","Was a Proxy respondent used in conducting the MEC CAPI Interview?"
"RIAGENDR","Gender of the participant."
"RIDAGEMN","Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (o"
"RIDAGEYR","Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age."
"RIDEXMON","Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31"
"RIDEXPRG","Pregnancy status for females between 20 and 44 years of age at the time of MEC exam."
"RIDRETH1","Recode of reported race and Hispanic origin information"
"RIDRETH3","Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category"
"RIDSTATR","Interview and examination status of the participant."
"SDDSRVYR","Data release cycle"
"SDMVPSU","Masked variance unit pseudo-PSU variable for variance estimation"
"SDMVSTRA","Masked variance unit pseudo-stratum variable for variance estimation"
"SEQN","Respondent sequence number."
"SIAINTRP","Was an interpreter used to conduct the Sample Person (SP) interview?"
"SIALANG","Language of the Sample Person Interview Instrument"
"SIAPROXY","Was a Proxy respondent used in conducting the Sample Person (SP) interview?"
"WTINTPRP","Full sample interview weight"
"WTMECPRP","Full sample MEC exam weight"
